Year MonthOfYear DayOfMonth DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) AblationPressureTransducer(mm) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) HorDilOfPrecGPS_HDOP<1 LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2016 5 1 122 5966 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .805 -999 -999 -999 -999 2.587 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 5.38 -1.78 -999 -999 -999 -999 -12.8 124.9 14.26
2016 5 2 123 5967 723.74 -27.47 -27.95 90.9 .4 4.16 242.4 5.5 -1.6 296.6 294.1 221.3 216.8 .729 151.8 203.6 .39 -28.01 2.564 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .08 -1.64 -999 -999 -999 -999 -24.91 125.7 14.46
2016 5 3 124 5968 726.56 -28.24 -28.66 91 .37 3.6 244 2.3 -1.6 289 295.9 225.1 225 .762 145.5 201.7 .34 -28.56 2.582 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .06 -1.66 -999 -999 -999 -999 -24.76 124.2 14.32
2016 5 4 125 5969 726.98 -28.79 -29.35 93.1 .36 3.91 229.8 2.4 -1.2 299.3 304.7 228.5 226.6 .745 147.8 199.5 .39 -29.24 2.583 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .02 -1.66 -999 -999 -999 -999 -25.73 129.2 14.81
2016 5 5 126 5970 726.96 -27.42 -27.96 93.2 .41 4.01 240.5 1.2 -1.5 284 285.4 220.3 219.5 .764 161.5 205.1 .5 -27.63 2.584 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .08 -1.63 -999 -999 -999 -999 -24.98 127.5 14.71
2016 5 6 127 5971 724.3 -27.75 -28.33 88.9 .38 4.54 231.2 4.5 -2 297.7 306.2 237.4 237.4 .774 144.8 202.6 .32 -28.25 2.583 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .02 -1.67 -999 -999 -999 -999 -24.6 129.8 14.96
2016 5 7 128 5972 723.02 -26.73 -27.16 89.2 .41 4.09 246 2.6 -2.2 304.1 307.3 236.7 236.7 .77 148.1 206.3 .32 -27.11 2.583 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .07 -1.66 -999 -999 -999 -999 -23.71 130.7 14.94
2016 5 8 129 5973 724.55 -25.91 -26.41 90.1 .46 5.15 250.2 6.1 -2.1 305.5 310.1 238.6 238.6 .768 150 208.7 .31 -26.43 2.583 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .03 -1.64 -999 -999 -999 -999 -23.9 130.5 14.91
2016 5 9 130 5974 724.61 -19.93 -20.72 92.4 1.01 5.76 222.2 14.5 -1.4 250.3 256.4 204.8 204.8 .811 191.3 229.6 .53 -20.95 2.584 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .05 -1.64 -999 -999 -999 -999 -18.15 130.5 14.91
2016 5 10 131 5975 720.03 -20.57 -20.81 89.9 .8 5 293.1 7.9 -1.4 302.1 302.5 240.3 240.3 .793 174.2 227.2 .39 -21.17 2.583 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .15 -1.67 -999 -999 -999 -999 -18.08 129.4 14.74
