Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 716.7 -30.35 -32.13 -999 79 4.56 21.7 -.3 -999 .1 -999 -999 -9.5 0 -999 -999 2.273 .846 -9999 -999 -36.64 -36.75 -36.61 -36.7 -36.7 -36.21 -35.26 -33.87 .11 .18 -999 -999 -999 -999 -999 -999 103 12.23
2018 1 18 23 -999 -999 720.3 -37.99 -38.58 -999 74.5 1.88 324.7 -.7 -999 0 -999 -999 -8.1 0 -999 -999 2.329 .861 -9999 -999 -36.27 -36.33 -36.16 -36.27 -36.38 -35.98 -35.17 -33.86 .41 .44 -999 -999 -999 -999 -999 -999 105 12.23
2018 1 19 23 -999 -999 720.7 -43.41 -41.66 -999 71.2 3.19 262.1 -.2 -999 .4 -999 -999 -6.2 .1 -999 -999 2.34 .872 -9999 -999 -36.63 -36.38 -36.16 -36.19 -36.14 -35.79 -35.02 -33.83 .07 .05 -999 -999 -999 -999 -999 -999 106 12.22
2018 1 20 23 -999 -999 720.5 -46.1 -41.67 -999 69.5 2.89 262 -.8 -999 .4 -999 -999 -4.9 0 -999 -999 2.349 .872 -9999 -999 -37.29 -36.82 -36.51 -36.46 -36.13 -35.66 -34.88 -33.78 .54 .13 -999 -999 -999 -999 -999 -999 105 12.22
2018 1 21 23 -999 -999 719.4 -47.81 -41.68 -999 68.4 4.55 240.7 -.4 -999 .5 -999 -999 -3.1 .1 -999 -999 2.371 .872 -9999 -999 -37.96 -37.38 -37.01 -36.87 -36.24 -35.66 -34.78 -33.73 -.11 .39 -999 -999 -999 -999 -999 -999 106 12.22
2018 1 22 23 -999 -999 717 -47.93 -41.61 -999 68.2 4.62 240 -.5 -999 .6 -999 -999 -2 .1 -999 -999 2.389 .877 -9999 -999 -38.56 -37.9 -37.52 -37.32 -36.51 -35.76 -34.78 -33.68 .33 .31 -999 -999 -999 -999 -999 -999 106 12.22
2018 1 23 23 -999 -999 715.1 -50.31 -41.63 -999 66.4 4.22 234.3 -.5 -999 .4 -999 -999 -1.4 .1 -999 -999 2.426 .884 -9999 -999 -39.08 -38.4 -37.93 -37.75 -36.75 -35.86 -34.8 -33.66 -.07 .1 -999 -999 -999 -999 -999 -999 106 12.2
2018 1 24 23 -999 -999 713 -48.1 -41.68 -999 67.8 4.41 248.4 -.4 -999 .5 -999 -999 -1.2 0 -999 -999 2.421 .883 -9999 -999 -39.69 -38.87 -38.38 -38.17 -37.04 -36.05 -34.91 -33.66 .23 .12 -999 -999 -999 -999 -999 -999 106 12.2
2018 1 25 23 -999 -999 713.4 -48.67 -41.69 -999 67.5 4.86 227.9 -.1 -999 .8 -999 -999 -.7 .1 -999 -999 2.361 .868 -9999 -999 -39.96 -39.25 -38.72 -38.5 -37.35 -36.24 -34.99 -33.69 -.24 .11 -999 -999 -999 -999 -999 -999 103 12.18
2018 1 26 23 -999 -999 705.3 -36.99 -38.5 -999 74.2 6.81 219.6 -.3 -999 .8 -999 -999 -.5 0 -999 -999 2.337 .854 -9999 -999 -40 -39.45 -38.94 -38.73 -37.62 -36.44 -35.12 -33.77 -.14 .15 -999 -999 -999 -999 -999 -999 104 12.19
2018 1 27 23 -999 -999 708 -40.31 -41.32 -999 72.5 6.04 218.7 -.6 -999 .4 -999 -999 -.5 .1 -999 -999 2.367 .865 -9999 -999 -39.5 -39.12 -38.72 -38.63 -37.7 -36.63 -35.3 -33.83 0 .28 -999 -999 -999 -999 -999 -999 104 12.17
2018 1 28 23 -999 -999 709.6 -38.85 -38.86 -999 73.4 5.19 204.7 0 -999 1 -999 -999 -.4 0 -999 -999 2.338 .856 -9999 -999 -39.35 -38.94 -38.57 -38.48 -37.71 -36.72 -35.41 -33.91 1.1 .14 -999 -999 -999 -999 -999 -999 104 12.17
2018 1 29 23 -999 -999 711.1 -37.02 -38.59 -999 74.5 6.83 199.9 -.4 -999 .5 -999 -999 -.4 0 -999 -999 2.363 .864 -9999 -999 -39 -38.72 -38.39 -38.33 -37.68 -36.74 -35.51 -34 -.16 .26 -999 -999 -999 -999 -999 -999 105 12.18
2018 1 30 23 -999 -999 714 -44.59 -41.67 -999 70.1 6.14 219 -.4 -999 .6 -999 -999 -.3 0 -999 -999 2.372 .871 -9999 -999 -38.84 -38.5 -38.17 -38.14 -37.61 -36.71 -35.55 -34.07 .89 .04 -999 -999 -999 -999 -999 -999 105 12.17
2018 1 31 23 -999 -999 719.4 -47.42 -41.68 -999 68.5 4.62 236.9 -.4 -999 .5 -999 -999 -.3 0 -999 -999 2.396 .874 -9999 -999 -39.15 -38.65 -38.26 -38.17 -37.58 -36.7 -35.55 -34.14 -.24 .13 -999 -999 -999 -999 -999 -999 105 12.17
2018 2 1 23 -999 -999 714.9 -40.15 -36.83 -999 72.4 8.58 202.3 .6 -999 1.2 -999 -999 -.1 0 -999 -999 2.303 .844 -9999 -999 -39.62 -39.02 -38.59 -38.44 -37.67 -36.73 -35.6 -34.19 .97 .27 -999 -999 -999 -999 -999 -999 102 12.16
2018 2 2 23 -999 -999 702.3 -36.38 -37.88 -999 75.2 6.82 205.4 -.6 -999 .4 -999 -999 -.3 .1 -999 -999 2.342 .864 -9999 -999 -39.1 -38.85 -38.51 -38.45 -37.77 -36.83 -35.64 -34.25 .16 .18 -999 -999 -999 -999 -999 -999 100 12.16
2018 2 3 23 -999 -999 696.3 -36.44 -37.39 -999 75.3 4.69 63.4 -.1 -999 .4 -999 -999 -6.2 0 -999 -999 2.375 .876 -9999 -999 -38.66 -38.48 -38.14 -38.14 -37.67 -36.85 -35.71 -34.32 -.29 .28 -999 -999 -999 -999 -999 -999 102 12.18
2018 2 4 23 -999 -999 685 -38.17 -38.52 -999 74.2 8.41 222.8 -.3 -999 .9 -999 -999 -6.2 .1 -999 -999 2.328 .825 -9999 -999 -38.51 -38.24 -37.95 -37.98 -37.57 -36.83 -35.77 -34.35 .83 .23 -999 -999 -999 -999 -999 -999 101 12.18
2018 2 5 23 -999 -999 693.8 -42.74 -41.55 -999 71.5 8.83 294.9 -.1 -999 .5 -999 -999 -2.3 .1 -999 -999 2.392 .88 -9999 -999 -38.32 -38.11 -37.82 -37.82 -37.47 -36.82 -35.76 -34.41 -.53 .18 -999 -999 -999 -999 -999 -999 102 12.18
2018 2 6 23 -999 -999 707.8 -52.19 -41.63 -999 64.5 5.68 260.9 -.1 -999 1.1 -999 -999 -1.5 .1 -999 -999 2.423 .891 -9999 -999 -38.52 -38.13 -37.83 -37.77 -37.37 -36.72 -35.75 -34.45 .03 .19 -999 -999 -999 -999 -999 -999 103 12.18
2018 2 7 23 -999 -999 696.1 -38.06 -39.2 -999 73.9 6.77 209.6 .6 -999 1.1 -999 -999 -.5 0 -999 -999 2.35 .826 -9999 -999 -39.1 -38.54 -38.21 -38.12 -37.45 -36.71 -35.69 -34.49 .19 .16 -999 -999 -999 -999 -999 -999 101 12.18
2018 2 8 23 -999 -999 694.4 -39.08 -40.72 -999 73.4 2.79 273.9 .6 -999 .6 -999 -999 -.2 0 -999 -999 2.373 0 -9999 -999 -38.97 -38.6 -38.27 -38.18 -37.56 -36.77 -35.72 -34.5 .18 .16 -999 -999 -999 -999 -999 -999 100 12.17
2018 2 9 23 -999 -999 695.5 -48.57 -41.66 -999 67.4 2.97 283.6 2.2 -999 2.7 -999 -999 -.4 0 -999 -999 2.421 .826 -9999 -999 -38.86 -38.47 -38.16 -38.1 -37.58 -36.78 -35.75 -34.5 -.13 .04 -999 -999 -999 -999 -999 -999 103 12.16
2018 2 10 23 -999 -999 702.7 -54.29 -41.65 -999 62.4 4.58 229.8 .7 -999 1.8 -999 -999 -.3 0 -999 -999 2.428 .853 -9999 -999 -39.43 -38.8 -38.37 -38.25 -37.61 -36.81 -35.75 -34.5 .15 .21 -999 -999 -999 -999 -999 -999 103 12.18
2018 2 11 23 -999 -999 708.3 -47.35 -41.05 -999 67.2 2.31 207.4 1.4 -999 1.4 -999 -999 0 -.1 -999 -999 2.342 .824 -9999 -999 -40.26 -39.48 -39 -38.78 -37.82 -36.88 -35.79 -34.54 .24 .17 -999 -999 -999 -999 -999 -999 102 12.17
2018 2 12 23 -999 -999 708.2 -37.83 -38.75 -999 74 2.95 73.6 3.1 -999 2.8 -999 -999 -.1 0 -999 -999 2.239 .818 -9999 -999 -40.13 -39.64 -39.19 -39.1 -38.12 -37.08 -35.88 -34.57 .28 .13 -999 -999 -999 -999 -999 -999 102 12.17
2018 2 13 23 -999 -999 706.5 -32.59 -34.41 -999 77.3 4.53 100.4 1.2 -999 1.9 -999 -999 -.4 0 -999 -999 0 .831 -9999 -999 -39.67 -39.35 -39.01 -38.98 -38.18 -37.22 -36.01 -34.65 .17 .18 -999 -999 -999 -999 -999 -999 102 12.15
