Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 962 -22.32 -999 -999 56 .97 349.1 .3 -999 3.3 -999 -999 -.4 -24.8 -999 -999 2.681 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 112 12.31
2018 1 18 23 -999 -999 966 -24.85 -999 -999 56.7 .37 287.5 1.5 -999 5.2 -999 -999 -.8 -25.3 -999 -999 2.677 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 112 12.4
2018 1 19 23 -999 -999 964 -13.83 -999 -999 52.6 2.25 250.3 2.3 -999 5.8 -999 -999 -51.6 -26.8 -999 -999 2.52 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 113 12.46
2018 1 20 23 -999 -999 959 -7.16 -999 -999 44.8 4.87 126.1 -1.1 -999 2.8 -999 -999 -82.1 -24.9 -999 -999 2.583 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 127 12.38
2018 1 21 23 -999 -999 957 -5.28 -999 -999 45.3 9.9 134.1 .9 -999 2.8 -999 -999 -86 -19 -999 -999 2.897 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 119 12.4
2018 1 22 23 -999 -999 956 -6.26 -999 -999 39.8 6.75 128.5 3.6 -999 4.4 -999 -999 -90.7 -20.6 -999 -999 2.508 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 113 12.44
2018 1 23 23 -999 -999 957 -11.49 -999 -999 51 .94 263.3 5.9 -999 5.9 -999 -999 -78.9 -25.7 -999 -999 2.539 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 113 12.53
2018 1 24 23 -999 -999 967 -15.58 -999 -999 65.6 .5 258.9 8.3 -999 6.7 -999 -999 -69.2 -23.2 -999 -999 2.543 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 113 12.59
2018 1 25 23 -999 -999 956 -15.92 -999 -999 63.7 1.17 282.7 3.4 -999 3.2 -999 -999 -49.1 -16.8 -999 -999 2.552 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 114 12.37
2018 1 26 23 -999 -999 951 -13.93 -999 -999 75.1 5.13 2.5 5.1 -999 2.9 -999 -999 -10.3 -2.3 -999 -999 2.537 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 110 12.35
2018 1 27 23 -999 -999 955 -13.79 -999 -999 80.2 1.67 338 5.3 -999 4.6 -999 -999 -12.6 -3.8 -999 -999 2.635 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 111 12.35
2018 1 28 23 -999 -999 963 -16.31 -999 -999 83 .31 290.3 5.6 -999 7 -999 -999 -.8 -6.2 -999 -999 2.635 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 110 12.34
2018 1 29 23 -999 -999 961 -23.25 -999 -999 65.4 .7 293.3 6.9 -999 10.2 -999 -999 -2 -22.1 -999 -999 2.708 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 114 12.42
2018 1 30 23 -999 -999 969 -22.58 -999 -999 67.5 .3 294.2 8.4 -999 9.9 -999 -999 -1.8 -13.3 -999 -999 2.688 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 114 12.37
2018 1 31 23 -999 -999 977 -19.05 -999 -999 60 1.12 251.1 8.9 -999 9.7 -999 -999 -26.7 -19.7 -999 -999 2.665 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 112 12.39
2018 2 1 23 -999 -999 951 -20.45 -999 -999 74 1.1 233.6 5 -999 8 -999 -999 -.9 -2.5 -999 -999 2.617 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 111 12.29
2018 2 2 23 -999 -999 957 -18.7 -999 -999 76.3 .56 233.7 6.6 -999 11.9 -999 -999 -.4 -11.8 -999 -999 2.593 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 111 12.33
2018 2 3 23 -999 -999 937 -8.17 -999 -999 68.4 6.84 138.2 7.2 -999 7.3 -999 -999 -28.3 -8.8 -999 -999 2.523 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 110 12.36
2018 2 4 23 -999 -999 941 -15.57 -999 -999 78.6 3.88 234.3 10.6 -999 10.3 -999 -999 -15.4 -4.5 -999 -999 2.578 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 110 12.33
2018 2 5 23 -999 -999 968 -21.87 -999 -999 67.7 1.99 205.9 21.3 -999 24.1 -999 -999 -29 -17 -999 -999 2.587 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 119 12.69
2018 2 6 23 -999 -999 940 -13.68 -999 -999 74.2 10.06 118.2 5.9 -999 6 -999 -999 -34.7 -8.6 -999 -999 2.523 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 123 12.45
2018 2 7 23 -999 -999 947 -17.53 -999 -999 75.6 4.6 220 15.5 -999 13.7 -999 -999 -17.2 -5 -999 -999 2.688 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 113 12.35
2018 2 8 23 -999 -999 961 -22.1 -999 -999 60.1 2.84 156.8 14.1 -999 14.9 -999 -999 -62.5 -14.3 -999 -999 2.663 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 111 12.31
2018 2 9 23 -999 -999 947 -19.2 -999 -999 48.1 2.58 300.9 21.8 -999 21.1 -999 -999 -72.2 -18.6 -999 -999 2.674 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 112 12.51
2018 2 10 23 -999 -999 956 -23.01 -999 -999 61.3 2.44 203.1 22.4 -999 21.4 -999 -999 -61.4 -14.9 -999 -999 2.708 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 124 12.61
2018 2 11 23 -999 -999 954 -23.11 -999 -999 50.4 3.67 129.5 18.1 -999 19 -999 -999 -77.5 -17.9 -999 -999 2.682 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 120 12.61
2018 2 12 23 -999 -999 957 -21.71 -999 -999 54.4 3 153.1 35.6 -999 34.2 -999 -999 -89 -21.3 -999 -999 2.687 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 119 12.8
2018 2 13 23 -999 -999 950 -28.25 -999 -999 50.9 .91 302.5 32.7 -999 30.2 -999 -999 -71.1 -20.2 -999 -999 2.728 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 116 12.8
2018 2 14 23 -999 -999 951 -28.4 -999 -999 70.2 1.29 295.5 31 -999 27.1 -999 -999 -19.7 -9.2 -999 -999 2.725 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 120 12.78
2018 2 15 23 -999 -999 946 -27.72 -999 -999 63.3 1.35 258.3 27.6 -999 24.4 -999 -999 -41.8 -9.9 -999 -999 2.708 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 117 12.72
2018 2 16 23 -999 -999 953 -22.33 -999 -999 67 2.01 307.1 20.8 -999 17.6 -999 -999 -8.7 -1.7 -999 -999 2.683 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 113 12.65
2018 2 17 23 -999 -999 958 -22.24 -999 -999 71.7 3.06 333 24.4 -999 24.6 -999 -999 -.2 -7.2 -999 -999 2.658 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 118 12.64
2018 2 18 23 -999 -999 963 -23.79 -999 -999 75.3 1.3 295 40.5 -999 47.1 -999 -999 -1 -11.8 -999 -999 2.668 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 122 12.85
2018 2 19 23 -999 -999 953 -19.85 -999 -999 77.1 2.69 344.6 32.5 -999 29.5 -999 -999 -.5 -6.3 -999 -999 2.624 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 121 12.79
2018 2 20 23 -999 -999 960 -21.53 -999 -999 67.6 1.07 284.2 31.4 -999 31.8 -999 -999 -.9 -14.4 -999 -999 2.665 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 117 12.73
2018 2 21 23 -999 -999 958 -26.26 -999 -999 60.2 .7 271.5 27.9 -999 28.7 -999 -999 -.9 -13.8 -999 -999 2.676 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 115 12.68
2018 2 22 23 -999 -999 948 -25.62 -999 -999 71 .8 246.6 24.2 -999 39.8 -999 -999 -.6 -13.6 -999 -999 2.648 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 122 12.78
2018 2 23 23 -999 -999 954 -29.42 -999 -999 66 .95 278 47.2 -999 64.6 -999 -999 -1.1 -23.1 -999 -999 2.674 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 122 12.91
2018 2 24 23 -999 -999 944 -29.95 -999 -999 68.6 .76 235.3 8.4 -999 31 -999 -999 -.2 -5.4 -999 -999 2.644 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 120 12.8
2018 2 25 23 -999 -999 966 -25.86 -999 -999 56.1 1.26 230.4 19.2 -999 61 -999 -999 -.5 -26 -999 -999 2.621 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 118 12.93
2018 2 26 23 -999 -999 978 -22.12 -999 -999 49.6 .71 274.8 27.2 -999 70.1 -999 -999 -.7 -37.7 -999 -999 2.613 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 117 12.98
2018 2 27 23 -999 -999 984 -18.38 -999 -999 48 .87 299.8 33.6 -999 73.1 -999 -999 -.8 -38.6 -999 -999 2.566 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 124 13.02
