Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 923 -24.31 -24.6 -999 58.4 5.31 96.1 2.7 -999 3.6 -999 -999 -75.2 -7.4 -999 -999 2.739 1.044 11.01 -999 -26.41 -17.5 -11.53 -9.07 -6.76 -4.97 -4.11 -3.02 3.35 -4.01 -999 -999 -999 -999 -999 -999 117 12.25
2018 1 18 23 -999 -999 926 -23.7 -24.09 -999 51.2 4.13 81.3 13.9 -999 7.8 -999 -999 -74.7 -9.2 -999 -999 2.147 1.035 11.07 -999 -23.24 -18.95 -11.7 -9.15 -6.83 -5.04 -4.14 -3.02 3.43 -3.81 -999 -999 -999 -999 -999 -999 121 12.6
2018 1 19 23 -999 -999 926 -14.22 -14.52 -999 56.2 7.11 113.3 11.4 -999 5.7 -999 -999 -96.5 -18.6 -999 -999 2.674 1.019 11.07 -999 -14.99 -18.3 -11.98 -9.24 -6.9 -5.09 -4.17 -3.01 3.3 -4.44 -999 -999 -999 -999 -999 -999 120 12.58
2018 1 20 23 -999 -999 922 -10.48 -10.83 -999 55.4 8.15 110.5 1.5 -999 2.3 -999 -999 -85.7 -19.2 -999 -999 2.668 1.012 10.99 -999 -8.74 -16.95 -12.2 -9.35 -6.96 -5.13 -4.2 -2.99 4.16 -6.21 -999 -999 -999 -999 -999 -999 126 12.41
2018 1 21 23 -999 -999 920 -8.02 -8.23 -999 55.4 13.63 122.2 3.4 -999 2.5 -999 -999 -90.7 -16.1 -999 -999 2.659 1.011 11.03 -999 -10.76 -15.01 -12.24 -9.49 -7.06 -5.2 -4.26 -3.02 3 -5.26 -999 -999 -999 -999 -999 -999 127 12.37
2018 1 22 23 -999 -999 919 -9.55 -9.79 -999 47.1 9.06 113.1 10.7 -999 5.4 -999 -999 -97.1 -17.6 -999 -999 2.664 1.016 10.97 -999 -12.81 -14.35 -12.07 -9.63 -7.15 -5.27 -4.3 -3.04 3.08 -3.96 -999 -999 -999 -999 -999 -999 120 12.49
2018 1 23 23 -999 -999 920 -12.25 -12.61 -999 53.2 4.98 108 17.4 -999 8 -999 -999 -93.7 -16 -999 -999 2.675 1.02 11.04 -999 -15.32 -14.57 -11.84 -9.72 -7.25 -5.34 -4.35 -3.04 3.28 -4 -999 -999 -999 -999 -999 -999 122 12.63
2018 1 24 23 -999 -999 929 -13.81 -14.18 -999 59.1 3.94 96.8 19.6 -999 8.8 -999 -999 -91.1 -15.3 -999 -999 2.117 1.023 11.09 -999 -16.89 -15.11 -11.67 -9.76 -7.33 -5.41 -4.39 -3.06 3.27 -4.04 -999 -999 -999 -999 -999 -999 125 12.69
2018 1 25 23 -999 -999 918 -15.04 -15.36 -999 63.1 2.85 95.1 4.3 -999 3.2 -999 -999 -60.7 -11.8 -999 -999 2.125 1.028 10.92 -999 -17.28 -15.62 -11.6 -9.8 -7.41 -5.47 -4.44 -3.07 3.32 -4.05 -999 -999 -999 -999 -999 -999 120 12.5
2018 1 26 23 -999 -999 913 -14.69 -14.92 -999 76.5 2.28 29.4 5.5 -999 3.1 -999 -999 -5.6 -4.2 -999 -999 2.689 1.024 10.94 -999 -15.51 -15.35 -11.62 -9.83 -7.49 -5.54 -4.48 -3.08 2.97 -4.59 -999 -999 -999 -999 -999 -999 123 12.42
