Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 851 -34.2 5.59 -999 67.2 6.23 97.2 2.4 -999 3.1 -999 -999 -3.2 -1.2 -999 -999 2.239 0 2.052 -999 -17.5 -17.68 -17.12 -15.5 -8.35 -10.49 -9.01 -7.11 2.61 3.1 -999 -999 -999 -999 -999 -999 118 12.32
2018 1 18 23 -999 -999 854 -29.77 10.02 -999 67.8 6.43 102.8 6.5 -999 6.7 -999 -999 -21.8 -6.5 -999 -999 2.18 0 1.927 -999 -17.89 -18.07 -17.52 -15.73 -8.46 -10.55 -9.07 -7.12 2.81 3.57 -999 -999 -999 -999 -999 -999 130 12.52
2018 1 19 23 -999 -999 857 -21.59 18.22 -999 72.4 11.14 85.5 2.3 -999 4.9 -999 -999 -60.3 -5.9 -999 -999 2.133 0 1.946 -999 -17.59 -17.73 -17.24 -15.88 -8.57 -10.62 -9.1 -7.13 2.54 2.63 -999 -999 -999 -999 -999 -999 128 12.51
2018 1 20 23 -999 -999 854 -18.43 21.4 -999 75.6 12.9 85.9 1.3 -999 2.3 -999 -999 -53.1 -4.7 -999 -999 2.144 0 1.883 -999 -17.21 -17.31 -16.83 -15.86 -8.68 -10.68 -9.16 -7.14 2.06 .74 -999 -999 -999 -999 -999 -999 143 12.35
2018 1 21 23 -999 -999 852 -15.69 24.17 -999 77.9 16.93 88.2 3 -999 3.4 -999 -999 -49.9 -2.6 -999 -999 2.161 0 1.939 -999 -16.47 -16.52 -16.13 -15.71 -8.82 -10.76 -9.23 -7.17 2.96 4.33 -999 -999 -999 -999 -999 -999 135 12.34
2018 1 22 23 -999 -999 851 -19.13 20.71 -999 72.8 14.24 80.9 4 -999 5.5 -999 -999 -58.4 -3.8 -999 -999 2.172 0 1.912 -999 -16.34 -16.44 -15.99 -15.51 -8.89 -10.84 -9.28 -7.2 1.9 3.18 -999 -999 -999 -999 -999 -999 131 12.41
2018 1 23 23 -999 -999 851 -20.97 18.87 -999 64.7 8.27 99.3 3.7 -999 6.6 -999 -999 -55.4 -8.1 -999 -999 2.166 0 1.966 -999 -16.54 -16.69 -16.22 -15.43 -8.94 -10.92 -9.33 -7.21 2.48 2.9 -999 -999 -999 -999 -999 -999 126 12.52
2018 1 24 23 -999 -999 859 -20.24 19.6 -999 68.9 6.7 110.9 5 -999 8.5 -999 -999 -56.3 -9.5 -999 -999 2.172 0 2.014 -999 -16.67 -16.82 -16.35 -15.45 -8.97 -10.97 -9.39 -7.22 2.51 2.85 -999 -999 -999 -999 -999 -999 129 12.59
2018 1 25 23 -999 -999 849 -17.89 21.95 -999 77.1 10.5 102.1 4.8 -999 4.9 -999 -999 -36.6 -5.7 -999 -999 2.131 0 1.801 -999 -16.74 -16.85 -16.41 -15.51 -9.01 -11.03 -9.44 -7.24 2.33 3.37 -999 -999 -999 -999 -999 -999 132 12.44
2018 1 26 23 -999 -999 845 -11.84 28.08 -999 79.6 14.08 116.8 6.6 -999 5.7 -999 -999 -12.9 -2.1 -999 -999 2.138 0 1.836 -999 -15.71 -15.74 -15.36 -15.39 -9.04 -11.1 -9.5 -7.26 2.44 3.35 -999 -999 -999 -999 -999 -999 129 12.38
2018 1 27 23 -999 -999 847 -16.43 23.48 -999 74 6.4 127.9 5.1 -999 5.2 -999 -999 -28.3 -4.6 -999 -999 2.17 0 1.939 -999 -15.45 -15.53 -15.11 -15.09 -9.09 -11.15 -9.55 -7.28 2.6 2.87 -999 -999 -999 -999 -999 -999 124 12.36
2018 1 28 23 -999 -999 853 -23.99 15.87 -999 74.2 5.9 108.2 6 -999 5.5 -999 -999 -13.5 0 -999 -999 2.221 0 2.098 -999 -15.82 -15.96 -15.49 -14.97 -9.09 -11.21 -9.6 -7.3 2.67 3.07 -999 -999 -999 -999 -999 -999 120 12.32
2018 1 29 23 -999 -999 850 -26.48 13.31 -999 68.4 6.75 99.7 6.2 -999 7.4 -999 -999 -51.6 -7.4 -999 -999 2.182 0 1.907 -999 -16.75 -16.95 -16.44 -15.12 -9.07 -11.24 -9.65 -7.32 2.51 2.9 -999 -999 -999 -999 -999 -999 120 12.41
2018 1 30 23 -999 -999 857 -27.33 12.47 -999 68.2 5.14 98.8 6.8 -999 8.4 -999 -999 -48.5 -7.9 -999 -999 2.195 0 2.076 -999 -17.24 -17.48 -16.95 -15.4 -9.06 -11.28 -9.7 -7.34 2.59 2.99 -999 -999 -999 -999 -999 -999 122 12.47
2018 1 31 23 -999 -999 866 -26.27 13.55 -999 72.6 8.18 95 11.7 -999 12.7 -999 -999 -35.3 -4.3 -999 -999 2.191 0 2.022 -999 -17.47 -17.66 -17.18 -15.67 -9.11 -11.3 -9.74 -7.36 2.63 3.23 -999 -999 -999 -999 -999 -999 130 12.63
2018 2 1 23 -999 -999 842 -15.13 24.79 -999 83.4 14.72 113.7 6.4 -999 5.7 -999 -999 -4 -.3 -999 -999 2.178 0 1.879 -999 -16.73 -16.78 -16.45 -15.83 -9.18 -11.34 -9.79 -7.37 2.57 3.04 -999 -999 -999 -999 -999 -999 122 12.46
