Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 785.7 -38.82 2.17 -999 63.6 6.13 115.1 5.9 -999 6.5 -999 -999 -5.4 -.6 -999 -999 .987 .811 -9999 -999 -13.42 -13.2 -13 -10.93 -10.96 -10.29 -10.06 -10.35 .48 -1.94 -999 -999 -999 -999 -999 -999 119 12.37
2018 1 18 23 -999 -999 791.1 -31.55 8.53 -999 69.6 7.2 115.7 6.7 -999 7 -999 -999 -5.3 -.5 -999 -999 .968 .759 -9999 -999 -13.49 -13.29 -13.08 -11 -10.98 -10.32 -10.08 -10.37 .09 -1.62 -999 -999 -999 -999 -999 -999 119 12.36
2018 1 19 23 -999 -999 796.5 -29.04 11.05 -999 71.8 9.09 114.9 9.3 -999 7.1 -999 -999 -13.5 -.7 -999 -999 1.015 .781 -9999 -999 -13.57 -13.38 -13.14 -11.05 -11.03 -10.35 -10.11 -10.38 -.08 -1.74 -999 -999 -999 -999 -999 -999 121 12.45
2018 1 20 23 -999 -999 794.4 -25.96 14.1 -999 74.1 10.8 120 5.4 -999 4.8 -999 -999 -18.7 -.5 -999 -999 1.014 .787 -9999 -999 -13.66 -13.46 -13.22 -11.12 -11.09 -10.4 -10.12 -10.4 -.14 -1.64 -999 -999 -999 -999 -999 -999 122 12.36
2018 1 21 23 -999 -999 793.9 -21.81 18.26 -999 76.6 13.92 121.4 4.5 -999 5.9 -999 -999 -33.9 -3.9 -999 -999 1.025 .798 -9999 -999 -13.74 -13.54 -13.3 -11.17 -11.11 -10.42 -10.14 -10.39 -.41 -1.67 -999 -999 -999 -999 -999 -999 122 12.3
2018 1 22 23 -999 -999 791.3 -26.15 13.91 -999 72.8 11.84 107.4 7.5 -999 7.3 -999 -999 -41.1 -6 -999 -999 1.034 .804 -9999 -999 -13.81 -13.63 -13.37 -11.2 -11.14 -10.43 -10.15 -10.38 -.24 -1.99 -999 -999 -999 -999 -999 -999 123 12.39
2018 1 23 23 -999 -999 790.8 -27.48 12.57 -999 70.2 8.44 117.7 6.6 -999 6.9 -999 -999 -36.6 -9.1 -999 -999 1.022 .794 -9999 -999 -13.87 -13.7 -13.44 -11.26 -11.19 -10.48 -10.18 -10.39 .01 -1.9 -999 -999 -999 -999 -999 -999 120 12.42
2018 1 24 23 -999 -999 797.4 -23.78 16.28 -999 73.9 6.37 149.9 11.7 -999 10.1 -999 -999 -35.9 -11.1 -999 -999 1.024 .795 -9999 -999 -13.93 -13.77 -13.51 -11.32 -11.22 -10.49 -10.2 -10.4 -.13 -1.74 -999 -999 -999 -999 -999 -999 119 12.5
2018 1 25 23 -999 -999 789.4 -21.55 18.52 -999 77.7 13.06 138.5 4.4 -999 6.2 -999 -999 -11.4 -1.6 -999 -999 1.006 .795 -9999 -999 -13.99 -13.81 -13.56 -11.38 -11.29 -10.54 -10.23 -10.42 -.03 -1.46 -999 -999 -999 -999 -999 -999 122 12.32
2018 1 26 23 -999 -999 786.1 -17.59 22.49 -999 75.9 14.17 137 7.6 -999 8.4 -999 -999 -22.1 -5.2 -999 -999 1.012 .785 -9999 -999 -14.03 -13.84 -13.61 -11.43 -11.31 -10.56 -10.25 -10.42 .99 -1.8 -999 -999 -999 -999 -999 -999 119 12.3
