Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 976 -18.36 21.79 -999 72.8 8.45 51.4 -2.4 -999 .3 -999 -999 -63.2 -8.3 -999 -999 2.397 4.548 14.53 -999 -9999 -19.82 -19.45 -18 -16.06 -14.37 -13.37 -12.41 -.47 -.58 -999 -999 -999 -999 -999 -999 120 12.18
2018 1 18 23 -999 -999 976 -20.54 19.57 -999 57.2 4.67 48.4 -3.3 -999 .4 -999 -999 -72 -15.4 -999 -999 2.415 4.626 14.51 -999 -109 -20.53 -19.7 -17.94 -16.11 -14.42 -13.39 -12.41 -.49 -.59 -999 -999 -999 -999 -999 -999 115 12.16
2018 1 19 23 -999 -999 974 -22.1 18.02 -999 58.3 4.65 63 -2 -999 0 -999 -999 -43.6 -11.2 -999 -999 2.408 4.561 14.5 -999 -109 -20.47 -19.98 -17.94 -16.16 -14.51 -13.46 -12.43 -.45 -.56 -999 -999 -999 -999 -999 -999 121 12.15
2018 1 20 23 -999 -999 973 -20.4 19.75 -999 62 5.65 55.7 -1.6 -999 .2 -999 -999 -36.3 -6.8 -999 -999 2.414 4.193 14.48 -999 -109 -20.33 -19.64 -17.94 -16.2 -14.55 -13.49 -12.43 -.49 -.58 -999 -999 -999 -999 -999 -999 118 12.15
2018 1 21 23 -999 -999 972 -20.66 19.45 -999 73 4.95 57.1 -3 -999 .4 -999 -999 -62.6 -11.8 -999 -999 2.407 4.611 14.45 -999 -109 -20.4 -19.75 -17.95 -16.25 -14.6 -13.55 -12.45 -.44 -.54 -999 -999 -999 -999 -999 -999 115 12.14
2018 1 22 23 -999 -999 969 -18.23 21.93 -999 78.5 7.15 54.2 -1.4 -999 .2 -999 -999 -32.6 -5.1 -999 -999 2.387 4.199 14.45 -999 -109 -19.54 -19.38 -17.95 -16.28 -14.67 -13.59 -12.47 -.45 -.56 -999 -999 -999 -999 -999 -999 118 12.15
2018 1 23 23 -999 -999 969 -17.97 22.12 -999 81.5 3.44 56.8 -3.4 -999 .6 -999 -999 -49.7 -9.2 -999 -999 2.384 4.176 14.41 -999 -109 -20.17 -19.55 -17.94 -16.32 -14.72 -13.64 -12.48 -.44 -.55 -999 -999 -999 -999 -999 -999 117 12.13
2018 1 24 23 -999 -999 965 -20.34 19.74 -999 65.9 7.07 19.9 -3.1 -999 .7 -999 -999 -68.8 -11.8 -999 -999 2.414 4.57 14.42 -999 -109 -20.59 -19.64 -17.92 -16.33 -14.76 -13.69 -12.48 -.48 -.58 -999 -999 -999 -999 -999 -999 124 12.12
2018 1 25 23 -999 -999 968 -23.22 16.91 -999 65 7.71 27.8 -2.5 -999 .5 -999 -999 -65.2 -9.5 -999 -999 2.438 4.193 14.4 -999 -109 -20.78 -19.87 -17.91 -16.35 -14.81 -13.72 -12.49 -.48 -.57 -999 -999 -999 -999 -999 -999 121 12.1
2018 1 26 23 -999 -999 961 -25.83 14.27 -999 71.4 4.01 356.9 -2.1 -999 .2 -999 -999 -40.9 -7.4 -999 -999 2.456 4.571 14.36 -999 -9999 -21.4 -20.18 -17.93 -16.38 -14.83 -13.75 -12.49 -.51 -.57 -999 -999 -999 -999 -999 -999 122 12.1
2018 1 27 23 -999 -999 961 -28.39 11.69 -999 61.1 5.51 44.4 -2.9 -999 .3 -999 -999 -66.5 -12.4 -999 -999 2.455 3.969 14.4 -999 -9999 -22.19 -20.75 -17.99 -16.4 -14.88 -13.79 -12.5 -.46 -.55 -999 -999 -999 -999 -999 -999 112 12.05
2018 1 28 23 -999 -999 966 -27.28 12.82 -999 64.8 4.43 60.4 -2.5 -999 .2 -999 -999 -52.1 -11.1 -999 -999 2.437 4.176 14.44 -999 -109 -22.14 -21.11 -18.09 -16.45 -14.92 -13.84 -12.53 -.48 -.57 -999 -999 -999 -999 -999 -999 116 12.05
2018 1 29 23 -999 -999 970 -23.92 16.21 -999 76.3 4.87 46.6 -.5 -999 .2 -999 -999 -6.3 -.8 -999 -999 2.422 4.216 14.45 -999 -109 -21.28 -20.7 -18.24 -16.48 -14.97 -13.89 -12.55 -.46 -.56 -999 -999 -999 -999 -999 -999 113 12.08
2018 1 30 23 -999 -999 968 -26.18 13.91 -999 71.2 3.46 27.7 -1.9 -999 .4 -999 -999 -34.1 -6.8 -999 -999 2.442 4.199 14.49 -999 -9999 -21.84 -20.78 -18.31 -16.51 -14.99 -13.91 -12.55 -.5 -.58 -999 -999 -999 -999 -999 -999 113 12.07
2018 1 31 23 -999 -999 978 -27.81 12.29 -999 65.4 7 54.9 -3.3 -999 .4 -999 -999 -70.9 -10.3 -999 -999 2.448 0 14.64 -999 -9999 -22.32 -21.13 -18.38 -16.57 -15.03 -13.95 -12.57 -.5 -.57 -999 -999 -999 -999 -999 -999 115 12.05
2018 2 1 23 -999 -999 979 -29.79 10.29 -999 60.9 4.46 11.1 -2.6 -999 .4 -999 -999 -59.2 -11.3 -999 -999 2.452 0 14.44 -999 -9999 -23.21 -21.62 -18.46 -16.62 -15.06 -13.98 -12.58 -.51 -.58 -999 -999 -999 -999 -999 -999 126 12.01
2018 2 2 23 -999 -999 956 -29.17 10.91 -999 64.8 5.58 287.7 -2.2 -999 .3 -999 -999 -52.3 -9.3 -999 -999 2.422 4.196 14.32 -999 -109 -23.27 -21.88 -18.59 -16.68 -15.12 -14.02 -12.6 -.46 -.55 -999 -999 -999 -999 -999 -999 114 12.02
2018 2 3 23 -999 -999 955 -25.36 14.76 -999 67.6 7.26 60.9 -.2 -999 0 -999 -999 -4.7 -1.8 -999 -999 2.426 4.534 14.19 -999 -9999 -22.08 -21.5 -18.74 -16.75 -15.16 -14.07 -12.62 -.46 -.56 -999 -999 -999 -999 -999 -999 120 12.04
2018 2 4 23 -999 -999 933 -25.96 14.15 -999 68.9 4.34 25 -1.1 -999 .2 -999 -999 -28.9 -6.5 -999 -999 2.408 4.553 13.93 -999 -109 -21.98 -21.38 -18.83 -16.81 -15.21 -14.1 -12.64 -.42 -.54 -999 -999 -999 -999 -999 -999 116 12.04
2018 2 5 23 -999 -999 938 -23.16 16.98 -999 75.1 8.04 59 -1.4 -999 .2 -999 -999 -35.3 -3.9 -999 -999 2.426 4.242 14.27 -999 -109 -21.44 -21.07 -18.88 -16.89 -15.26 -14.14 -12.65 -.48 -.58 -999 -999 -999 -999 -999 -999 118 12.06
2018 2 6 23 -999 -999 961 -24.27 15.86 -999 68.8 8.48 33.2 -2.6 -999 .5 -999 -999 -69.2 -8 -999 -999 2.433 4.225 14.4 -999 -9999 -21.7 -20.99 -18.9 -16.96 -15.29 -14.17 -12.66 -.46 -.55 -999 -999 -999 -999 -999 -999 119 12.04
2018 2 7 23 -999 -999 954 -30.37 9.68 -999 57.4 4.47 342.2 -3 -999 .4 -999 -999 -66.2 -12.7 -999 -999 2.46 4.537 14.27 -999 -9999 -22.96 -21.62 -18.91 -17.01 -15.33 -14.2 -12.66 -.51 -.58 -999 -999 -999 -999 -999 -999 114 12.01
2018 2 8 23 -999 -999 952 -30.58 9.47 -999 62.4 6.16 48.1 -2.2 -999 .2 -999 -999 -51.1 -9.5 -999 -999 2.454 4.529 14.36 -999 -9999 -23.17 -22.03 -18.96 -17.06 -15.38 -14.24 -12.68 -.52 -.59 -999 -999 -999 -999 -999 -999 122 11.99
2018 2 9 23 -999 -999 959 -27.67 12.44 -999 71.3 8.1 57.1 -.7 -999 0 -999 -999 -16.3 -1.6 -999 -999 2.452 4.165 14.36 -999 -9999 -22.56 -21.83 -19.08 -17.1 -15.43 -14.27 -12.7 -.51 -.59 -999 -999 -999 -999 -999 -999 113 12.01
2018 2 10 23 -999 -999 956 -24.21 15.91 -999 65.4 6.37 53.4 -3.1 -999 .4 -999 -999 -71.4 -11.7 -999 -999 2.408 4.189 14.33 -999 -9999 -22.54 -21.84 -19.19 -17.18 -15.5 -14.33 -12.73 -.44 -.55 -999 -999 -999 -999 -999 -999 120 12.02
