Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 913 -22.74 17.29 -999 77.5 5.67 305.8 -2.4 -999 .7 -999 -999 -57.9 -6.4 -999 -999 1.761 1.011 9.41 -999 -17.48 -16.15 -14.49 -13.53 -12.61 -12.55 -12.81 -13.91 -1.91 .12 -999 -999 -999 -999 -999 -999 122 12.17
2018 1 18 23 -999 -999 913 -26.92 13.02 -999 66 3.95 264.1 -2.3 -999 1.2 -999 -999 -72.9 -10.8 -999 -999 1.774 1.018 9.37 -999 -17.46 -16.14 -14.53 -13.57 -12.64 -12.57 -12.82 -13.89 -1.94 .16 -999 -999 -999 -999 -999 -999 119 12.18
2018 1 19 23 -999 -999 910 -26.99 12.99 -999 64.1 4.49 280.1 -2.2 -999 .9 -999 -999 -70.9 -11.4 -999 -999 1.764 1.011 9.38 -999 -17.55 -16.15 -14.58 -13.63 -12.67 -12.6 -12.85 -13.9 -2.1 .25 -999 -999 -999 -999 -999 -999 120 12.17
2018 1 20 23 -999 -999 910 -26.87 13.16 -999 68.6 5.13 282 -1.5 -999 .3 -999 -999 -44.7 -6.4 -999 -999 1.769 1.014 9.36 -999 -17.63 -16.16 -14.61 -13.66 -12.7 -12.62 -12.85 -13.9 -1.96 .18 -999 -999 -999 -999 -999 -999 119 12.16
2018 1 21 23 -999 -999 908 -24.93 15.1 -999 77.1 4.17 288.9 -2.1 -999 .5 -999 -999 -25 -2 -999 -999 1.779 1.024 9.34 -999 -17.66 -16.19 -14.65 -13.7 -12.75 -12.65 -12.88 -13.89 -1.95 .19 -999 -999 -999 -999 -999 -999 119 12.17
2018 1 22 23 -999 -999 906 -22.59 17.46 -999 79 4.47 304.7 -.8 -999 .5 -999 -999 -5.3 -.1 -999 -999 1.77 1.017 9.34 -999 -17.71 -16.22 -14.69 -13.76 -12.79 -12.68 -12.9 -13.91 -1.97 .45 -999 -999 -999 -999 -999 -999 125 12.16
2018 1 23 23 -999 -999 906 -20.12 19.95 -999 81.1 3 304.5 -1 -999 .5 -999 -999 -1.3 .1 -999 -999 1.768 1.018 9.32 -999 -17.63 -16.27 -14.74 -13.79 -12.83 -12.7 -12.91 -13.91 -1.93 .13 -999 -999 -999 -999 -999 -999 123 12.14
2018 1 24 23 -999 -999 902 -27.18 12.83 -999 75.4 4.29 252.1 -1.9 -999 .7 -999 -999 -3 .1 -999 -999 1.789 1.03 9.3 -999 -17.53 -16.27 -14.75 -13.82 -12.84 -12.72 -12.91 -13.89 -1.93 .02 -999 -999 -999 -999 -999 -999 120 12.15
2018 1 25 23 -999 -999 904 -30.75 9.24 -999 72.6 4.23 266.1 -1.6 -999 .6 -999 -999 -3.6 .1 -999 -999 1.806 1.037 9.28 -999 -17.63 -16.26 -14.78 -13.85 -12.88 -12.72 -12.94 -13.87 -2.03 .15 -999 -999 -999 -999 -999 -999 119 12.14
2018 1 26 23 -999 -999 897 -30.79 9.22 -999 72.6 2.21 214.2 -.6 -999 .3 -999 -999 -.6 0 -999 -999 1.809 1.04 9.2 -999 -17.83 -16.29 -14.83 -13.89 -12.92 -12.76 -12.95 -13.88 -1.95 .1 -999 -999 -999 -999 -999 -999 122 12.12
