Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 935 -8.46 -9.39 -999 50 3.57 47.3 7.6 -999 7.7 -999 -999 -66.5 -21.5 -999 -999 1.289 -9999 6.886 -999 -3.1 -3.07 .18 -2.31 -1.28 -.79 -.64 -109 .16 .87 -999 -999 -999 -999 -999 -999 119 12.37
2018 1 18 23 -999 -999 945 -6.05 -6.94 -999 43.6 2.34 49.6 4 -999 4.1 -999 -999 -41.6 -20.6 -999 -999 1.297 -9999 7.012 -999 -3.07 -3.05 .22 -2.3 -1.29 -.81 -.65 -109 .13 .85 -999 -999 -999 -999 -999 -999 119 12.35
2018 1 19 23 -999 -999 954 -6.87 -7.67 -999 67.2 2.34 73.4 3.8 -999 4.3 -999 -999 -47.7 -17.5 -999 -999 1.323 -9999 6.966 -999 -3.06 -3.03 .22 -2.29 -1.31 -.83 -.67 -109 .16 1 -999 -999 -999 -999 -999 -999 121 12.34
2018 1 20 23 -999 -999 956 -9.6 -10.51 -999 67.9 3.93 31.9 4.4 -999 5.2 -999 -999 -62.8 -16.6 -999 -999 1.324 -9999 7.046 -999 -3.05 -3.02 .23 -2.28 -1.32 -.85 -.68 -109 .29 .96 -999 -999 -999 -999 -999 -999 120 12.35
2018 1 21 23 -999 -999 955 -6.47 -7.34 -999 53.4 3.61 34.6 5.1 -999 5.1 -999 -999 -44.2 -16.5 -999 -999 1.323 -9999 7.046 -999 -3.05 -3.02 .24 -2.28 -1.32 -.86 -.7 -109 .15 .87 -999 -999 -999 -999 -999 -999 121 12.35
2018 1 22 23 -999 -999 947 -5.31 -5.99 -999 65.4 5.46 35.3 7.1 -999 7 -999 -999 -43.8 -11 -999 -999 1.293 -9999 6.938 -999 -3.05 -3.01 .23 -2.27 -1.34 -.88 -.71 -109 .28 1.01 -999 -999 -999 -999 -999 -999 120 12.34
2018 1 23 23 -999 -999 943 -3.1 -3.75 -999 52.7 5.85 30.7 3.8 -999 3.9 -999 -999 -38 -14.8 -999 -999 1.308 -9999 7.044 -999 -3.05 -3.01 .24 -2.28 -1.35 -.89 -.73 -109 .16 .84 -999 -999 -999 -999 -999 -999 119 12.34
2018 1 24 23 -999 -999 954 -8.01 -8.92 -999 60.3 2.8 88.2 8.1 -999 9.5 -999 -999 -79.6 -25.2 -999 -999 1.346 -9999 6.966 -999 -3.06 -3.01 .22 -2.27 -1.36 -.92 -.76 -109 .18 .93 -999 -999 -999 -999 -999 -999 122 12.38
2018 1 25 23 -999 -999 955 -9.85 -10.79 -999 76.6 5.98 71.1 4.8 -999 5.1 -999 -999 -40 -12.2 -999 -999 1.336 -9999 7.053 -999 -3.04 -3.01 .24 -2.27 -1.36 -.92 -.76 -102.9 -.13 1.2 -999 -999 -999 -999 -999 -999 132 12.32
2018 1 26 23 -999 -999 946 -6.43 -7.15 -999 81.4 5.9 65 8.7 -999 7.7 -999 -999 -14 -3.9 -999 -999 1.339 -9999 6.964 -999 -3.05 -3.01 .24 -2.28 -1.38 -.94 -.78 -102.9 .17 .88 -999 -999 -999 -999 -999 -999 120 12.34
