Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 917 -19.83 -20.41 -999 79.6 2.87 345.3 .9 -999 2.8 -999 -999 -.1 -.7 -999 -999 0 1.297 7.278 -999 -3.23 -2.38 -3 5.94 6.12 -1.01 .56 -.74 -2.17 4.03 -999 -999 -999 -999 -999 -999 121 12.28
2018 1 18 23 -999 -999 919 -18.14 -19.17 -999 50 1.79 18.4 .4 -999 4 -999 -999 -.2 -13.8 -999 -999 0 1.295 7.326 -999 -3.25 -2.42 -3.03 5.92 6.09 -1.04 .55 -.74 -2.16 3.98 -999 -999 -999 -999 -999 -999 120 12.29
2018 1 19 23 -999 -999 919 -12.83 -13.47 -999 42.4 3.12 2.8 4.8 -999 6.5 -999 -999 -33.9 -16.6 -999 -999 0 1.29 7.243 -999 -3.3 -2.45 -3.07 5.89 6.06 -1.08 .51 -.75 -2.16 3.78 -999 -999 -999 -999 -999 -999 122 12.27
2018 1 20 23 -999 -999 912 -7.31 -7.64 -999 47.4 4.84 330.7 4.2 -999 4.9 -999 -999 -46.7 -12.9 -999 -999 0 1.281 7.145 -999 -3.33 -2.5 -3.12 5.84 6.03 -1.11 .48 -.76 -2.13 3.92 -999 -999 -999 -999 -999 -999 117 12.28
2018 1 21 23 -999 -999 909 -4.69 -4.89 -999 48.6 6.53 313 .9 -999 1.7 -999 -999 -33.3 -9.7 -999 -999 0 1.307 7.158 -999 -3.39 -2.55 -3.16 5.8 5.99 -1.14 .47 -.76 -2.24 3.42 -999 -999 -999 -999 -999 -999 121 12.28
2018 1 22 23 -999 -999 910 -5.78 -6.1 -999 41.1 4.19 35.4 4.4 -999 5.4 -999 -999 -53.7 -15.8 -999 -999 0 1.32 7.16 -999 -3.42 -2.6 -3.21 5.79 5.96 -1.18 .44 -.76 -2.15 3.7 -999 -999 -999 -999 -999 -999 114 12.3
2018 1 23 23 -999 -999 913 -8.36 -8.92 -999 37.6 2.15 28.1 2.9 -999 4.6 -999 -999 -58.9 -21.8 -999 -999 0 1.333 7.279 -999 -3.45 -2.65 -3.21 5.74 5.94 -1.21 .42 -.77 -2.15 3.84 -999 -999 -999 -999 -999 -999 117 12.29
2018 1 24 23 -999 -999 924 -10.58 -11.02 -999 71.2 3.96 73.7 5.2 -999 6.6 -999 -999 -39.3 -10.2 -999 -999 0 1.336 7.323 -999 -3.48 -2.67 -3.22 5.72 5.92 -1.24 .39 -.78 -2.08 3.91 -999 -999 -999 -999 -999 -999 117 12.31
2018 1 25 23 -999 -999 911 -9.65 -10.05 -999 64.1 3.48 346.4 5.1 -999 5.7 -999 -999 -37.3 -9.8 -999 -999 0 1.335 7.104 -999 -3.48 -2.7 -3.25 5.72 5.89 -1.27 .36 -.78 -2.28 3.77 -999 -999 -999 -999 -999 -999 116 12.28
2018 1 26 23 -999 -999 906 -5.9 -6.13 -999 83.3 2.52 348.2 5.7 -999 5.7 -999 -999 -3.9 -6.3 -999 -999 0 1.321 7.131 -999 -3.51 -2.74 -3.28 5.68 5.87 -1.3 .34 -.79 -2.25 3.79 -999 -999 -999 -999 -999 -999 116 12.29
