Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 868 -27.75 -29.47 -999 57.8 7.14 83 15 -999 16.6 -999 -999 -48 -8.7 -999 -999 2.471 2.031 6.103 -999 -12.7 -13.25 -13.16 -12.1 -8.8 -6.42 -88.4 -2.31 .94 -.93 -999 -999 -999 -999 -999 -999 123 12.8
2018 1 18 23 -999 -999 870 -22.34 -24.14 -999 53.2 5.66 106.9 19.2 -999 15.4 -999 -999 -95.4 -18.5 -999 -999 2.442 1.998 6.099 -999 -13.35 -14.1 -14.06 -12.94 -8.94 -6.49 -90.9 -2.32 .86 -.6 -999 -999 -999 -999 -999 -999 125 12.87
2018 1 19 23 -999 -999 872 -15.04 -16.79 -999 56.7 10.2 99.9 8 -999 8.6 -999 -999 -88.2 -11.8 -999 -999 2.423 1.982 6.088 -999 -12.85 -13.41 -13.38 -12.81 -9.15 -6.57 -96.4 -2.33 1.32 -1.57 -999 -999 -999 -999 -999 -999 124 12.65
2018 1 20 23 -999 -999 866 -12.12 -13.86 -999 64.7 15.99 78.8 5.8 -999 3 -999 -999 -55.8 -4.8 -999 -999 2.512 1.984 6.006 -999 -12.07 -12.52 -12.5 -12.25 -9.34 -6.64 -4.3 -2.34 1.49 -.82 -999 -999 -999 -999 -999 -999 141 12.53
2018 1 21 23 -999 -999 864 -10.96 -12.72 -999 62.9 21.08 79.2 7.8 -999 6.8 -999 -999 -47.8 -5.5 -999 -999 2.568 1.99 6.02 -999 -11.34 -11.82 -11.85 -11.66 -9.39 -6.75 -4.36 -2.36 4.39 -4.56 -999 -999 -999 -999 -999 -999 134 12.47
2018 1 22 23 -999 -999 864 -11.88 -13.67 -999 47.5 14.75 87.9 19 -999 13.4 -999 -999 -95.1 -12.8 -999 -999 2.581 1.987 6.014 -999 -11.34 -11.92 -11.91 -11.55 -9.37 -6.84 -4.41 -2.38 .53 -1.69 -999 -999 -999 -999 -999 -999 123 12.63
2018 1 23 23 -999 -999 866 -12.3 -14.1 -999 46.5 9.97 94.3 24.2 -999 16.4 -999 -999 -96.3 -15.3 -999 -999 2.562 1.987 6.093 -999 -11.48 -12.04 -12.05 -11.64 -9.35 -6.93 -4.49 -2.4 .42 -.74 -999 -999 -999 -999 -999 -999 126 12.82
2018 1 24 23 -999 -999 876 -12.62 -14.37 -999 54.8 6.99 108 25.7 -999 16.8 -999 -999 -99.6 -16.5 -999 -999 2.574 1.993 6.142 -999 -11.62 -12.12 -12.15 -11.69 -9.34 -6.99 -4.55 -2.41 1.28 -.67 -999 -999 -999 -999 -999 -999 127 12.87
2018 1 25 23 -999 -999 864 -10.23 -11.98 -999 56.6 7.64 115 8.4 -999 7.8 -999 -999 -44.8 -10.8 -999 -999 2.534 1.959 5.977 -999 -11.3 -11.73 -11.67 -11.55 -9.36 -7.04 -4.61 -2.42 .87 -.73 -999 -999 -999 -999 -999 -999 119 12.72
2018 1 26 23 -999 -999 860 -7.79 -9.55 -999 49.1 10.85 94.8 12.5 -999 10.4 -999 -999 -37.8 -10.6 -999 -999 2.559 1.975 5.986 -999 -10.61 -10.95 -10.96 -10.92 -9.37 -7.09 -4.66 -2.44 1.52 -2.03 -999 -999 -999 -999 -999 -999 125 12.6
2018 1 27 23 -999 -999 865 -13.84 -15.53 -999 69.2 3.23 128.6 9.6 -999 10.5 -999 -999 -30 -6.7 -999 -999 2.585 1.987 6.085 -999 -10.92 -11.27 -11.29 -10.99 -9.32 -7.16 -4.73 -2.46 .92 -.91 -999 -999 -999 -999 -999 -999 116 12.54
2018 1 28 23 -999 -999 870 -20.98 -22.64 -999 69.8 2.75 118.3 9.3 -999 14.6 -999 -999 -4.3 -7.6 -999 -999 2.606 2.008 6.1 -999 -11.33 -11.7 -11.67 -11.18 -9.27 -7.21 -4.79 -2.49 .94 -.89 -999 -999 -999 -999 -999 -999 116 12.59
2018 1 29 23 -999 -999 866 -17.86 -19.68 -999 52.6 5.93 100.6 16.5 -999 15 -999 -999 -86.2 -16.1 -999 -999 2.598 2.005 6.065 -999 -12.07 -12.43 -12.49 -11.76 -9.26 -7.23 -4.84 -2.51 .82 -.93 -999 -999 -999 -999 -999 -999 0 12.74
2018 1 30 23 -999 -999 875 -20.67 -22.49 -999 58.8 3.96 98.1 29.1 -999 21.4 -999 -999 -84.9 -20.5 -999 -999 2.615 2.017 6.234 -999 -13.12 -13.54 -13.68 -12.62 -9.34 -7.26 -4.89 -2.52 .92 -.94 -999 -999 -999 -999 -999 -999 0 13.01
2018 1 31 23 -999 -999 882 -19.32 -21.1 -999 54.9 6.74 93.9 32 -999 22.2 -999 -999 -54.4 -9.9 -999 -999 2.573 1.984 6.068 -999 -13.25 -13.71 -13.86 -12.98 -9.5 -7.29 -4.96 -2.53 .8 -.88 -999 -999 -999 -999 -999 -999 0 13.03
2018 2 1 23 -999 -999 857 -10.96 -12.68 -999 77.7 9.65 111 14.9 -999 13.4 -999 -999 -8.5 -1.8 -999 -999 2.584 1.995 6.008 -999 -11.91 -12.28 -12.28 -12.22 -9.69 -7.35 -5.02 -2.56 .92 -.9 -999 -999 -999 -999 -999 -999 0 12.97
2018 2 2 23 -999 -999 866 -17.41 -19.13 -999 70.7 3.37 148.4 23.7 -999 27 -999 -999 -3.3 -2.8 -999 -999 2.544 1.984 6.041 -999 -11.97 -12.29 -12.24 -11.9 -9.75 -7.41 -102.8 -2.58 1.17 -1.17 -999 -999 -999 -999 -999 -999 0 13
2018 2 3 23 -999 -999 849 -10.27 -12.03 -999 73.9 13.02 113.7 9 -999 8.4 -999 -999 -18.1 -3.7 -999 -999 2.494 1.964 5.717 -999 -11.43 -11.73 -11.66 -11.66 -9.74 -7.46 -102.8 3.61 1.41 -.96 -999 -999 -999 -999 -999 -999 116 12.84
2018 2 4 23 -999 -999 855 -19.11 -20.73 -999 74.6 5.58 197.7 22.7 -999 21.2 -999 -999 -12.1 -1.8 -999 -999 2.403 1.864 6.074 -999 -10.92 -11.26 -11.25 -11.19 -9.72 -7.53 -102.8 -.41 .93 -.89 -999 -999 -999 -999 -999 -999 117 12.8
2018 2 5 23 -999 -999 875 -25.13 -26.78 -999 69.7 4.86 157.9 35.2 -999 31.3 -999 -999 -31.2 -2.9 -999 -999 2.418 1.868 6.265 -999 -11.03 -11.42 -11.39 -11.17 -9.67 -7.59 -102.8 -1.71 .63 -1.04 -999 -999 -999 -999 -999 -999 128 12.84
2018 2 6 23 -999 -999 847 -13.07 -14.87 -999 76.1 14.21 99.9 12 -999 11.5 -999 -999 -28 -2.5 -999 -999 2.442 1.816 5.775 -999 -11.03 -11.39 -11.41 -11.23 -9.6 -7.61 -99.1 -1.36 .37 -.99 -999 -999 -999 -999 -999 -999 128 12.73
2018 2 7 23 -999 -999 859 -20.16 -21.77 -999 72.5 6.46 186.2 28.7 -999 26.5 -999 -999 -15.5 -2.9 -999 -999 2.436 1.767 6.115 -999 -10.92 -11.25 -11.23 -11.06 -9.58 -7.65 -102.8 -1.55 .99 -.91 -999 -999 -999 -999 -999 -999 118 12.71
2018 2 8 23 -999 -999 868 -26.47 -28.2 -999 65.4 5.58 99.2 44.8 -999 34.2 -999 -999 -34.1 -7.5 -999 -999 2.422 1.837 6.082 -999 -11.26 -11.62 -11.52 -11.16 -9.54 -7.68 -102.8 -1.54 .74 -.98 -999 -999 -999 -999 -999 -999 126 12.81
2018 2 9 23 -999 -999 856 -23.76 -25.42 -999 65.7 7.4 117.5 23.8 -999 22.8 -999 -999 -30.1 -2.8 -999 -999 2.433 1.803 6.022 -999 -11.58 -11.95 -11.87 -11.42 -9.52 -7.69 -102.8 -1.23 .95 -.93 -999 -999 -999 -999 -999 -999 117 12.69
2018 2 10 23 -999 -999 862 -27.61 -29.26 -999 61.8 5.49 114 31.2 -999 29.5 -999 -999 -48.1 -8.6 -999 -999 2.438 1.818 6.052 -999 -11.84 -12.22 -12.15 -11.65 -9.55 -7.71 -102.8 -1.24 .87 -1.3 -999 -999 -999 -999 -999 -999 124 12.74
2018 2 11 23 -999 -999 862 -23.9 -25.56 -999 66.3 7.8 130.3 38 -999 33.8 -999 -999 -41.8 -4.9 -999 -999 2.446 1.81 6.102 -999 -12.09 -12.47 -12.41 -11.9 -9.6 -7.73 -102.8 -1.27 .94 -.89 -999 -999 -999 -999 -999 -999 119 12.61
2018 2 12 23 -999 -999 866 -28.37 -29.99 -999 64.7 5.9 112.2 67.1 -999 47.9 -999 -999 -50.7 -6.4 -999 -999 2.417 1.838 6.242 -999 -12.38 -12.74 -12.68 -12.11 -9.68 -7.76 -102.8 -1.3 .92 -.81 -999 -999 -999 -999 -999 -999 132 12.94
2018 2 13 23 -999 -999 855 -30.62 -32.27 -999 54.9 4.56 101.2 47.5 -999 40 -999 -999 -81 -18.2 -999 -999 2.444 1.82 5.796 -999 -12.99 -13.37 -13.29 -12.53 -9.77 -7.79 -102.8 -1.24 1.02 -.94 -999 -999 -999 -999 -999 -999 120 12.93
2018 2 14 23 -999 -999 856 -31.99 -33.64 -999 57.1 1.95 70.6 63.5 -999 49.7 -999 -999 -76.5 -22.8 -999 -999 2.417 1.797 4.02 -999 -13.72 -14.14 -14.06 -13.13 -9.88 -7.83 -102.8 -1.28 .96 -.96 -999 -999 -999 -999 -999 -999 127 12.99
2018 2 15 23 -999 -999 853 -21.24 -22.99 -999 52.6 0 0 35.1 -999 32.5 -999 -999 -65.6 -14.9 -999 -999 2.39 1.773 5.946 -999 -13.86 -14.28 -14.23 -13.5 -10.07 -7.86 -102.8 -1.26 1 -1 -999 -999 -999 -999 -999 -999 119 12.88
2018 2 16 23 -999 -999 861 -21.73 -23.38 -999 62.8 0 0 46.3 -999 42.9 -999 -999 -39.4 -10.4 -999 -999 2.43 1.784 6.184 -999 -13.54 -13.96 -13.93 -13.39 -10.25 -7.92 -102.8 -1.24 .95 -.9 -999 -999 -999 -999 -999 -999 120 12.9
2018 2 17 23 -999 -999 863 -21.08 -22.77 -999 59.1 0 0 37.9 -999 35.3 -999 -999 -46.4 -14.1 -999 -999 2.389 1.771 6.074 -999 -13.5 -13.94 -13.91 -13.36 -10.38 -7.98 -102.8 -1.24 .94 -.93 -999 -999 -999 -999 -999 -999 120 12.85
2018 2 18 23 -999 -999 867 -17.28 -19.02 -999 54.3 .69 109.9 52.5 -999 44.4 -999 -999 -69.6 -23.3 -999 -999 2.344 1.739 6.012 -999 -13.42 -13.87 -13.84 -13.32 -10.47 -8.05 -102.8 -1.14 .71 -.8 -999 -999 -999 -999 -999 -999 127 12.93
2018 2 19 23 -999 -999 863 -16.22 -17.81 -999 67.2 4.97 149.9 39.8 -999 37.9 -999 -999 -18.4 -5.6 -999 -999 2.382 1.779 6.149 -999 -12.94 -13.38 -13.38 -13.08 -10.56 -8.13 -102.8 -.97 .94 -.94 -999 -999 -999 -999 -999 -999 120 12.83
2018 2 20 23 -999 -999 866 -27.32 -28.97 -999 60.9 6.28 97.3 84 -999 66.9 -999 -999 -85.6 -13.5 -999 -999 2.446 1.807 6.194 -999 -12.85 -13.31 -13.27 -12.92 -10.6 -8.2 -102.8 -.78 .96 -1.36 -999 -999 -999 -999 -999 -999 126 13
2018 2 21 23 -999 -999 861 -31.14 -32.74 -999 55.2 3.76 87.9 55.3 -999 48.8 -999 -999 -66.3 -15 -999 -999 2.46 1.814 6.27 -999 -13.27 -13.64 -13.56 -13.07 -10.62 -8.26 -69.11 -1.01 .96 -.93 -999 -999 -999 -999 -999 -999 125 12.97
2018 2 22 23 -999 -999 854 -31.38 -32.94 -999 62.2 2.98 100 102.6 -999 74.6 -999 -999 -58.3 -18.9 -999 -999 2.463 1.816 7.643 -999 -13.81 -14.1 -14.02 -13.38 -10.65 -8.33 -35.42 -.88 .95 -.91 -999 -999 -999 -999 -999 -999 123 13.02
2018 2 23 23 -999 -999 858 -32.34 -33.92 -999 54 3.74 74.9 101.2 -999 77.8 -999 -999 -88.2 -23.9 -999 -999 2.476 1.825 7.74 -999 -14.29 -14.55 -14.45 -13.74 -10.74 -8.39 -53.77 -1.07 1.01 -.96 -999 -999 -999 -999 -999 -999 124 13.06
