Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 967 -17.44 -19.23 -999 47.3 7.65 358.8 19.1 -999 23.2 -999 -999 -90 -8.6 -999 -999 0 .515 11.12 -999 -14.91 -15.87 -16.24 -15.86 -16.62 -14.37 -7.56 -1.76 .46 1.5 -999 -999 -999 -999 -999 -999 122 12.92
2018 1 18 23 -999 -999 973 -18.34 -20.12 -999 50.9 4.77 30.5 19.3 -999 23.2 -999 -999 -82.3 -10 -999 -999 0 0 11.27 -999 -15.71 -16.66 -16.96 -16.66 -17.31 -15.3 -8.14 -1.83 .32 1.67 -999 -999 -999 -999 -999 -999 121 12.97
2018 1 19 23 -999 -999 969 -6.67 -8.4 -999 47.9 5.82 55.3 15.2 -999 10.2 -999 -999 -48.8 -14 -999 -999 0 0 11.1 -999 -10.87 -10.86 -10.81 -11.09 -10.82 -11.77 -8.6 -1.89 -.39 .81 -999 -999 -999 -999 -999 -999 120 12.64
2018 1 20 23 -999 -999 957 -1.01 -2.72 -999 47.2 11.93 60.3 12.2 -999 7.8 -999 -999 -46.7 -12.8 -999 -999 0 0 10.96 -999 -7.86 -7.61 -7.55 -7.74 -7.51 -8.68 -8.41 -1.97 .11 1.79 -999 -999 -999 -999 -999 -999 121 12.65
2018 1 21 23 -999 -999 958 -3.88 -5.59 -999 82.8 4.04 84.1 28 -999 20.3 -999 -999 -25 -6.1 -999 -999 0 0 10.99 -999 -7.47 -7.3 -7.31 -7.33 -7.29 -7.93 -7.81 -2.07 .32 1.33 -999 -999 -999 -999 -999 -999 122 12.66
2018 1 22 23 -999 -999 956 -1.87 -3.59 -999 45.6 10.89 42 20.3 -999 14.2 -999 -999 -67.1 -12.7 -999 -999 0 0 10.95 -999 -7.28 -7.36 -7.41 -7.2 -7.48 -7.26 -7.28 -2.17 .64 -.43 -999 -999 -999 -999 -999 -999 127 12.75
2018 1 23 23 -999 -999 961 -3.95 -5.65 -999 50.4 6.16 23.3 19.8 -999 13.3 -999 -999 -71.6 -12.8 -999 -999 0 0 11.16 -999 -7.96 -8.27 -8.42 -8.03 -8.57 -7.69 -6.87 -2.29 .28 1.69 -999 -999 -999 -999 -999 -999 121 12.65
2018 1 24 23 -999 -999 979 -7.16 -8.89 -999 64.7 3.22 51.8 20.4 -999 15.2 -999 -999 -66 -12.4 -999 -999 0 0 11.24 -999 -9.06 -9.24 -9.31 -9.11 -9.39 -8.92 -6.7 -2.38 .27 1.87 -999 -999 -999 -999 -999 -999 118 12.78
2018 1 25 23 -999 -999 959 -1.85 -3.55 -999 68 8.1 64.7 10.8 -999 6.4 -999 -999 -15 -7.4 -999 -999 0 0 10.91 -999 -5.99 -5.73 -5.68 -5.69 -5.66 -6.45 -6.68 -2.47 .11 1.8 -999 -999 -999 -999 -999 -999 117 12.6
2018 1 26 23 -999 -999 953 -1.82 -3.49 -999 74.1 2.48 357.3 19.8 -999 18.2 -999 -999 -14.3 -8.2 -999 -999 0 0 10.91 -999 -6.32 -6.31 -6.33 -6.12 -6.37 -6.31 -6.32 -2.54 .47 1.3 -999 -999 -999 -999 -999 -999 121 12.6
2018 1 27 23 -999 -999 963 -5.3 -6.98 -999 73.9 2.28 324.4 29.8 -999 21.7 -999 -999 -34 -7.8 -999 -999 0 0 11.1 -999 -6.84 -6.92 -6.96 -6.67 -7 -6.68 -6.04 -2.62 .22 1.73 -999 -999 -999 -999 -999 -999 120 12.75
2018 1 28 23 -999 -999 971 -9.98 -11.72 -999 77.8 3.38 1.7 21.5 -999 18.2 -999 -999 -24.7 -2.4 -999 -999 0 0 11.08 -999 -7.92 -8.16 -8.22 -7.64 -8.23 -7.21 -5.92 -2.68 .34 1.45 -999 -999 -999 -999 -999 -999 119 12.63
2018 1 29 23 -999 -999 965 -6.79 -8.51 -999 62.5 6.43 51.3 19.6 -999 13 -999 -999 -35.2 -6.7 -999 -999 0 0 11.07 -999 -7.2 -7.19 -7.25 -7.1 -7.28 -7.32 -5.92 -2.73 .13 1.81 -999 -999 -999 -999 -999 -999 116 12.55
2018 1 30 23 -999 -999 973 -6.07 -7.79 -999 76.6 4.86 17.1 35 -999 31.8 -999 -999 -40.6 -6 -999 -999 0 0 11.28 -999 -7.24 -7.62 -7.74 -7.24 -7.82 -7.01 -5.94 -2.78 .45 1.63 -999 -999 -999 -999 -999 -999 119 12.8
2018 1 31 23 -999 -999 982 -9.84 -11.59 -999 55.3 5.79 44.7 22 -999 17.2 -999 -999 -63.9 -9.5 -999 -999 0 0 11.01 -999 -8.76 -8.68 -8.7 -8.72 -8.73 -8.79 -5.96 -2.81 -3.45 .84 -999 -999 -999 -999 -999 -999 133 12.65
2018 2 1 23 -999 -999 954 -2.83 -4.48 -999 89.3 8.85 74.2 14.6 -999 19.8 -999 -999 -13 -3.4 -999 -999 0 0 10.94 -999 -6.84 -6.74 -6.78 -6.63 -6.81 -6.9 -6.08 -2.85 .88 2.08 -999 -999 -999 -999 -999 -999 136 12.55
2018 2 2 23 -999 -999 969 -9.88 -11.64 -999 68.8 7.6 335.5 36.1 -999 36.8 -999 -999 -51.4 -5.7 -999 -999 0 0 11.12 -999 -7 -7.04 -7.08 -6.88 -7.16 -6.87 -5.95 -2.88 -.02 2.13 -999 -999 -999 -999 -999 -999 120 12.82
2018 2 3 23 -999 -999 951 -3.3 -4.99 -999 84.7 11.76 92.5 11.8 -999 9.8 -999 -999 -5.8 -1.5 -999 -999 0 0 10.68 -999 -6.74 -6.78 -6.81 -6.66 -6.87 -6.79 -5.84 -2.9 1.15 -.37 -999 -999 -999 -999 -999 -999 160 12.65
2018 2 4 23 -999 -999 960 -10.91 -12.64 -999 73.2 6.29 315.7 31.9 -999 26.3 -999 -999 -35.5 -3.8 -999 -999 0 0 11 -999 -6.13 -6.2 -6.22 -6.1 -6.31 -6.27 -5.75 -2.93 .04 1.57 -999 -999 -999 -999 -999 -999 120 12.69
2018 2 5 23 -999 -999 981 -16.01 -17.79 -999 64.6 8.52 348.8 39.1 -999 43.7 -999 -999 -54.9 -4.8 -999 -999 0 0 11.21 -999 -6.83 -6.89 -7 -6.72 -7.1 -6.59 -5.62 -2.97 -1.42 2.82 -999 -999 -999 -999 -999 -999 130 12.84
2018 2 6 23 -999 -999 949 -5.01 -6.73 -999 90.4 13.06 93.9 18.5 -999 15.9 -999 -999 -2.1 -.6 -999 -999 0 0 10.8 -999 -7 -7.01 -7.06 -6.81 -7.11 -6.81 -5.57 -2.98 .5 1.48 -999 -999 -999 -999 -999 -999 142 12.65
2018 2 7 23 -999 -999 964 -13 -14.75 -999 69.7 7.71 303.5 36.2 -999 34 -999 -999 -56.2 -5.8 -999 -999 0 0 11.03 -999 -6.68 -6.64 -6.69 -6.45 -6.73 -6.54 -5.57 -3.02 .6 1.84 -999 -999 -999 -999 -999 -999 121 12.83
2018 2 8 23 -999 -999 971 -19.4 -21.2 -999 62 11.65 357.2 51.7 -999 55.7 -999 -999 -86.6 -4.7 -999 -999 0 0 11.05 -999 -6.59 -6.6 -6.66 -6.44 -6.74 -6.44 -5.52 -3.05 .49 1.74 -999 -999 -999 -999 -999 -999 120 12.92
2018 2 9 23 -999 -999 958 -17.03 -18.8 -999 59.3 6.51 32.9 36.8 -999 32.6 -999 -999 -53.1 -6.9 -999 -999 0 0 10.96 -999 -7.32 -7.47 -7.56 -7.26 -7.68 -7.02 -5.49 -3.06 1.62 1.25 -999 -999 -999 -999 -999 -999 132 12.94
