Year MonthOfYear DayOfMonth DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) AblationPressureTransducer(mm) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) HorDilOfPrecGPS_HDOP<1 LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2016 8 11 224 6068 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 .211 -999 -999 -999 -999 2.832 .554 11.329 11.99 -999 .26 .11 .12 -.02 -.04 -.01 -.03 -.13 .47 -4.73 61.099903 46.83298 625.8 .86 -999 124.9 12.55
2016 8 12 225 6069 932.42 3.56 2.58 87.5 4.61 4.25 .3 -999 -999 53.4 53.8 11 11.1 .21 335.6 320 1 0 2.668 .592 11.408 12.083 -999 -.07 -.08 -.07 -.13 -.11 -.02 -.05 -.13 -999 -999 61.099903 46.832947 626.3 .79 -999 127.2 12.47
2016 8 13 226 6070 926.67 4.91 4.02 75.4 4.4 6.03 8.1 -999 -999 122.4 123.3 25.1 24.9 .203 328.8 321.6 .87 0 2.557 .645 11.377 12.11 14 -.01 -.05 -.05 -.13 -.13 -.06 -.07 -.14 -999 -999 61.099915 46.832943 626.1 .81 -999 126.5 12.6
2016 8 14 227 6071 921.58 4.4 3.54 74.1 4.19 5.92 356.1 -999 -999 259.4 257.2 53.1 53.1 .208 282.3 319.9 .42 0 2.532 .692 11.286 12.061 7 0 -.05 -.04 -.12 -.14 -.1 -.1 -.16 -999 -999 61.099922 46.832935 625.9 .79 -999 129.1 12.75
2016 8 15 228 6072 923.04 3.34 2.4 85.3 4.46 3.83 2 -999 -999 102.9 102.9 23 22.8 .223 313.6 319.2 .81 0 2.405 .732 11.287 12.042 2 -.06 -.07 -.07 -.13 -.15 -.24 -.32 -.25 -999 -999 61.099915 46.83293 625.9 .78 -999 126.8 12.71
2016 8 16 229 6073 925.42 2.78 1.95 83.3 4.19 4.12 1.3 -999 -999 260.2 262.4 59.9 60.2 .229 261.9 317.7 .29 0 2.439 .76 11.282 12.018 5 -.01 -.06 -.05 -.13 -.22 -.39 -.47 -.33 -999 -999 61.09992 46.832928 626.4 .76 -999 126.8 12.83
2016 8 17 230 6074 928.08 3.07 2.25 81.6 4.17 4.07 4 -999 -999 256.3 261.6 61 62.1 .235 265.7 318.1 .32 0 2.439 .803 11.282 11.99 7 -.02 -.06 -.05 -.13 -.34 -.41 -.49 -.38 -999 -999 61.09991 46.832928 625.2 .78 -999 126.8 12.9
2016 8 18 231 6075 933.08 3.03 2.12 85.2 4.33 3.26 343.7 -999 -999 176.6 175.6 41 41 .231 297.5 318.8 .66 0 2.438 .854 11.29 11.954 7 -.04 -.07 -.06 -.14 -.35 -.41 -.49 -.42 -999 -999 61.09992 46.832935 626.9 .76 -999 131.8 12.9
2016 8 19 232 6076 939.04 2.45 1.63 79.2 3.83 3.9 2.2 -999 -999 210.4 216.2 52.4 53.4 .247 263 316.9 .32 -.01 2.537 .888 11.292 11.895 11 -.05 -.06 -.06 -.14 -.35 -.41 -.49 -.45 -999 -999 61.09991 46.83293 626.4 .76 -999 130.3 12.9
2016 8 20 233 6077 940.71 2.41 1.63 79.4 3.83 3.62 9.4 -999 -999 249.4 252.3 66.2 67.5 .266 256 317 .25 -.03 2.736 .924 11.25 11.846 10 -.04 -.06 -.06 -.14 -.34 -.4 -.49 -.47 -999 -999 61.09991 46.832924 625.4 .85 -999 130.1 13.02
2016 8 21 234 6078 941.29 2.09 1.25 76.5 3.6 3.76 -999 -999 -999 244.4 244.9 64.8 65.4 .265 253.7 315.1 .24 -.29 2.718 .957 11.22 11.804 7 -.04 -.06 -.07 -.14 -.33 -.39 -.48 -.48 -999 -999 61.099907 46.83293 625.1 .84 -999 132.7 13.1
2016 8 22 235 6079 945.33 2.45 1.6 75.3 3.62 4.2 1.7 -999 -999 242.2 246.6 61.7 63 .252 257.5 315.6 .26 -.26 2.626 .995 11.215 11.764 7 -.03 -.06 -.06 -.14 -.31 -.38 -.47 -.48 -999 -999 61.099903 46.832935 626 .81 -999 130.7 13.08
