Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2017 12 31 23 -999 -999 926 -16.79 23.19 -999 57.6 12.24 346.9 9.9 -999 26.5 -999 -999 -108.1 -9 -999 -999 1.318 2.382 11.24 -999 -1.41 -.5 -.67 -.58 -.36 -.22 .37 -.31 -5.06 3.41 -999 -999 -999 -999 -999 -999 128 12.79
2018 1 31 23 -999 -999 997 4.35 44.11 -999 82.4 2.07 172.9 7.1 -999 1.8 -999 -999 -21.9 1.7 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2018 2 27 23 -999 -999 1029 -6.8 33.03 -999 51.8 .92 65.9 5.7 -999 4.3 -999 -999 -89.1 10.4 -999 -999 0 -9999 -9999 -999 -8.08 -7.91 -7.75 -7.81 -6.85 -7.09 -7.33 -8.09 -23.78 -1.14 -999 -999 -999 -999 -999 -999 -9999 12.8
2018 2 28 23 -999 -999 1031 -6.62 33.23 -999 59.3 .85 55 164.4 -999 22.6 -999 -999 -82 12.9 -999 -999 2.773 -9999 -9999 -999 -6.99 -6.85 -6.71 -6.77 -6.16 -6.34 -6.57 -6.94 -23.69 -1.18 -999 -999 -999 -999 -999 -999 -9999 12.86
2018 3 1 23 -999 -999 1023 -4.27 35.58 -999 57 .64 35.1 152.5 -999 17.3 -999 -999 -56.4 12.1 -999 -999 4 -9999 -9999 -999 -3.8 -3.84 -3.73 -3.71 -3.34 -3.48 -3.55 -3.84 -23.55 -1.26 -999 -999 -999 -999 -999 -999 -9999 12.87
2018 3 2 23 -999 -999 1010 -3.02 36.81 -999 73.9 .46 51.3 37.2 -999 12.7 -999 -999 -7.9 5.7 -999 -999 2.784 -9999 -9999 -999 -2.2 -1.74 -1.74 -1.64 -1.23 -1.38 -1.37 -1.58 -23.42 -1.13 -999 -999 -999 -999 -999 -999 -9999 12.79
2018 3 3 23 -999 -999 1007 -1.54 38.31 -999 68.3 .52 75.9 82.1 -999 22.3 -999 -999 -17 5.1 -999 -999 0 -9999 .294 -999 -2.1 -2.27 -2.06 -1.99 -1.59 -1.72 -1.68 -1.93 -23.36 -1.13 -999 -999 -999 -999 -999 -999 -9999 12.8
2018 3 4 23 -999 -999 1005 -1.44 38.39 -999 66 .79 99 89.5 -999 11.9 -999 -999 -26 7 -999 -999 3.482 -9999 -9999 -999 -.72 -.84 -.65 -.65 -.71 -.78 -.87 -.67 -23.33 -1.12 -999 -999 -999 -999 -999 -999 -9999 12.78
2018 3 5 23 -999 -999 997 .06 39.84 -999 78.9 .88 90.5 10.8 -999 7.9 -999 -999 -7.5 3 -999 -999 2.775 -9999 -9999 -999 -.06 -.29 -.25 -.08 -.24 -.26 -.23 -.21 -23.28 -1.03 -999 -999 -999 -999 -999 -999 -9999 12.71
2018 3 6 23 -999 -999 995 3 42.83 -999 75 .29 109.4 189.9 -999 26.1 -999 -999 -63.5 5.1 -999 -999 2.807 -9999 -9999 -999 .24 .16 .41 .41 .67 .54 .45 .3 -23.26 -1.07 -999 -999 -999 -999 -999 -999 -9999 12.85
2018 3 7 23 -999 -999 994 1.1 40.88 -999 87.6 .23 329.3 60 -999 6 -999 -999 -26 7.5 -999 -999 3.123 -9999 -9999 -999 .1 .14 .22 .33 .56 .43 .46 .19 -23.21 -1.12 -999 -999 -999 -999 -999 -999 -9999 12.79
2018 3 8 23 -999 -999 995 1.14 40.92 -999 96.2 .67 233.8 48.4 -999 5.6 -999 -999 -3.3 6.9 -999 -999 2.801 -9999 -9999 -999 2.1 1.96 1.99 2.22 2.23 2.15 2.15 2.07 -23.12 -1.07 -999 -999 -999 -999 -999 -999 -9999 12.74
2018 3 9 23 -999 -999 999 .68 40.46 -999 91.2 1.26 240.6 44.8 -999 3.8 -999 -999 -7.9 6.2 -999 -999 2.815 -9999 -9999 -999 -.44 -.51 -.41 -.36 -.08 -.29 -.29 -.33 -23.3 -1.06 -999 -999 -999 -999 -999 -999 -9999 12.71
2018 3 10 23 -999 -999 1005 .38 40.22 -999 79 .35 52.8 96.7 -999 7.9 -999 -999 -15.8 9 -999 -999 2.806 -9999 -9999 -999 .25 .18 .33 .34 .66 .5 .6 .58 -23.21 -1.17 -999 -999 -999 -999 -999 -999 -9999 12.75
2018 3 11 23 -999 -999 998 2.53 42.33 -999 99.7 .45 39.7 29.2 -999 2.4 -999 -999 -1.9 4.8 -999 -999 2.794 -9999 -9999 -999 3.23 3.07 3.14 3.36 3.26 3.19 3.21 3.19 -23.04 -1.08 -999 -999 -999 -999 -999 -999 -9999 12.7
