Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 890 -24.15 16 -999 64.5 8.61 21.5 40.1 -999 29.7 -999 -999 -74.1 -4.6 -999 -999 1.786 0 8.61 -999 -4.25 -4.54 -3.84 -2.07 -1.76 -1.19 -.78 -.09 -25.64 -9999 -999 -999 -999 -999 -999 -999 122 13.01
2018 1 18 23 -999 -999 896 -27.11 13.04 -999 64.2 4.87 42.9 44.6 -999 31.6 -999 -999 -58.9 -6.3 -999 -999 1.758 0 8.66 -999 -4.44 -4.72 -4 -2.13 -1.79 -1.22 -.79 -.1 -25.8 -9999 -999 -999 -999 -999 -999 -999 132 13.03
2018 1 19 23 -999 -999 895 -12.52 27.6 -999 65.3 6.74 60.4 26.7 -999 22.9 -999 -999 -34.8 -6.8 -999 -999 1.721 2.234 8.55 -999 -4.68 -5 -4.2 -2.25 -1.87 -1.28 -.85 -.16 -26.09 -9999 -999 -999 -999 -999 -999 -999 135 12.91
2018 1 20 23 -999 -999 886 -7.52 32.59 -999 70.8 12.43 80.3 24.2 -999 21.5 -999 -999 -39.2 -5.2 -999 -999 1.714 0 8.47 -999 -4.83 -5.21 -4.38 -2.34 -1.92 -1.31 -.88 -.17 -26.13 -9999 -999 -999 -999 -999 -999 -999 139 12.86
2018 1 21 23 -999 -999 885 -7 33.22 -999 82.4 10.85 103.6 44.7 -999 37.8 -999 -999 -36.6 -3.2 -999 -999 1.731 2.553 8.49 -999 -4.88 -5.27 -4.49 -2.42 -1.94 -1.32 -.89 -.18 -26.15 -9999 -999 -999 -999 -999 -999 -999 168 12.88
2018 1 22 23 -999 -999 885 -8.52 31.59 -999 66.6 11.02 57.5 28.6 -999 23.8 -999 -999 -55.6 -5.9 -999 -999 1.74 0 8.49 -999 -4.87 -5.21 -4.54 -2.51 -1.98 -1.34 -.9 -.17 -26.12 -9999 -999 -999 -999 -999 -999 -999 137 12.85
2018 1 23 23 -999 -999 889 -10.7 29.43 -999 62.6 6.38 40.7 30.2 -999 26 -999 -999 -56.1 -7.3 -999 -999 1.754 2.657 8.62 -999 -4.82 -5.12 -4.53 -2.57 -2.02 -1.35 -.9 -.16 -25.94 -9999 -999 -999 -999 -999 -999 -999 123 12.83
2018 1 24 23 -999 -999 904 -14.27 25.91 -999 71 4.58 62.7 48 -999 33.9 -999 -999 -54.7 -7 -999 -999 1.748 2.64 8.68 -999 -4.77 -5.06 -4.51 -2.64 -2.06 -1.37 -.91 -.16 -25.98 -9999 -999 -999 -999 -999 -999 -999 128 12.96
2018 1 25 23 -999 -999 887 -7.37 32.76 -999 85.7 9.47 87.1 28.2 -999 23.7 -999 -999 -7.2 -2.2 -999 -999 1.727 2.589 8.45 -999 -4.78 -5.08 -4.53 -2.71 -2.13 -1.42 -.96 -.19 -26.1 -9999 -999 -999 -999 -999 -999 -999 129 12.81
2018 1 26 23 -999 -999 881 -6.25 33.93 -999 79.6 5.31 69.4 32.3 -999 27.6 -999 -999 -18.7 -3.6 -999 -999 1.74 2.628 8.47 -999 -4.78 -5.06 -4.53 -2.74 -2.16 -1.44 -.97 -.19 -25.94 -9999 -999 -999 -999 -999 -999 -999 126 12.8
2018 1 27 23 -999 -999 889 -10.2 29.61 -999 79.2 2.83 53.5 37.9 -999 30.9 -999 -999 -24.2 -4 -999 -999 1.761 0 8.58 -999 -4.72 -4.99 -4.51 -2.76 -2.2 -1.47 -.98 -.17 -25.83 -9999 -999 -999 -999 -999 -999 -999 123 12.81
2018 1 28 23 -999 -999 896 -15.55 23.92 -999 82.9 2.47 57.7 29.1 -999 28.1 -999 -999 -8.4 -1.5 -999 -999 1.779 2.672 8.61 -999 -4.65 -4.92 -4.46 -2.79 -2.22 -1.47 -.96 -.15 -25.61 -9999 -999 -999 -999 -999 -999 -999 128 12.8
