Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 946 -5.7 34.51 -999 70.8 7.89 18.8 -.4 -999 0 -999 -999 -17.6 -7.1 -999 -999 2.619 1.435 15.75 -999 -11.97 -11.08 -13.25 -10.58 -9.67 -8.7 -8.13 -7.76 .3 -3.75 -999 -999 -999 -999 -999 -999 121 12.38
2018 1 18 23 -999 -999 956 -6.02 34.18 -999 59.7 6.31 8.1 -1.4 -999 .1 -999 -999 -35.7 -10.4 -999 -999 2.649 1.454 15.85 -999 -12.07 -10.62 -13.17 -10.62 -9.74 -8.75 -8.18 -7.78 .69 -3.99 -999 -999 -999 -999 -999 -999 120 12.37
2018 1 19 23 -999 -999 958 -12.88 27.33 -999 52.4 5.22 338.7 -2.7 -999 .5 -999 -999 -61.9 -13.2 -999 -999 2.651 1.452 15.83 -999 -14.71 -10.24 -13.07 -10.66 -9.79 -8.8 -8.2 -7.78 .54 -3.81 -999 -999 -999 -999 -999 -999 121 12.33
2018 1 20 23 -999 -999 960 -13 27.19 -999 56.1 5.04 347.8 -2.8 -999 .6 -999 -999 -66.9 -14.3 -999 -999 2.687 1.469 15.84 -999 -16.36 -10.23 -12.96 -10.68 -9.84 -8.85 -8.24 -7.8 .54 -3.78 -999 -999 -999 -999 -999 -999 119 12.32
2018 1 21 23 -999 -999 960 -16.62 23.63 -999 51.6 5.53 349.2 -3.4 -999 1 -999 -999 -78.5 -14.4 -999 -999 2.692 1.478 15.81 -999 -18.48 -10.34 -12.87 -10.69 -9.9 -8.89 -8.28 -7.81 .51 -3.84 -999 -999 -999 -999 -999 -999 117 12.27
2018 1 22 23 -999 -999 958 -17.74 22.5 -999 47.2 5.01 352.2 -3.7 -999 .9 -999 -999 -82.9 -18.2 -999 -999 2.7 1.482 15.8 -999 -19.87 -10.66 -12.79 -10.69 -9.94 -8.95 -8.32 -7.81 .66 -3.96 -999 -999 -999 -999 -999 -999 117 12.26
2018 1 23 23 -999 -999 958 -17.6 22.64 -999 50 3.47 355.1 -1.8 -999 .6 -999 -999 -46.2 -12.2 -999 -999 2.703 1.482 15.77 -999 -19.51 -11.07 -12.77 -10.69 -9.98 -9 -8.35 -7.82 .61 -3.89 -999 -999 -999 -999 -999 -999 118 12.26
2018 1 24 23 -999 -999 954 -19.72 20.5 -999 55.2 3.61 355.1 -3 -999 1.1 -999 -999 -76.1 -19.2 -999 -999 2.713 1.489 15.76 -999 -21.26 -11.39 -12.79 -10.68 -10.02 -9.04 -8.38 -7.82 .56 -3.88 -999 -999 -999 -999 -999 -999 117 12.23
2018 1 25 23 -999 -999 956 -19.64 20.65 -999 49 5.48 354.2 -3 -999 1.2 -999 -999 -79 -15.1 -999 -999 2.711 1.486 15.76 -999 -21.36 -11.81 -12.85 -10.69 -10.05 -9.08 -8.42 -7.84 .51 -3.87 -999 -999 -999 -999 -999 -999 118 12.23
2018 1 26 23 -999 -999 952 -17.99 22.18 -999 49.3 4.7 .6 -2.6 -999 1 -999 -999 -69.6 -16.7 -999 -999 2.682 1.473 15.68 -999 -20.86 -12.16 -12.93 -10.7 -10.07 -9.11 -8.45 -7.84 .66 -3.8 -999 -999 -999 -999 -999 -999 119 12.23
