Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 887 -10.51 29.57 -999 89 4.16 277.4 -.4 -999 .3 -999 -999 -10.8 -2.7 -999 -999 2.331 .944 20.74 -999 -13.86 -11.25 -11.43 -10.41 -10 -9.62 -9.97 -10.86 2.32 -1.57 -999 -999 -999 -999 -999 -999 122 12.31
2018 1 18 23 -999 -999 896 -11.73 28.33 -999 76.1 4.91 273.3 -1.4 -999 .3 -999 -999 -31 -6.7 -999 -999 2.373 .975 20.85 -999 -13.77 -11.24 -11.47 -10.47 -10.04 -9.64 -9.98 -10.86 2.47 -1.57 -999 -999 -999 -999 -999 -999 122 12.3
2018 1 19 23 -999 -999 896 -17.68 22.37 -999 63.9 6.64 280.3 -2.5 -999 .3 -999 -999 -55.4 -8.4 -999 -999 2.369 .975 20.85 -999 -13.67 -11.24 -11.51 -10.51 -10.08 -9.66 -10 -10.86 2.38 -1.61 -999 -999 -999 -999 -999 -999 122 12.28
2018 1 20 23 -999 -999 898 -18.1 21.95 -999 63.3 7 268 -3 -999 .6 -999 -999 -69.6 -10.3 -999 -999 2.405 .987 20.88 -999 -13.59 -11.21 -11.54 -10.55 -10.11 -9.7 -10.01 -10.84 2.55 -1.16 -999 -999 -999 -999 -999 -999 131 12.26
2018 1 21 23 -999 -999 898 -20.56 19.47 -999 57.6 7.59 264.7 -4 -999 .5 -999 -999 -82.7 -11.1 -999 -999 2.414 .988 20.86 -999 -13.55 -11.21 -11.57 -10.59 -10.15 -9.72 -10.02 -10.84 2.37 -1.34 -999 -999 -999 -999 -999 -999 125 12.24
2018 1 22 23 -999 -999 896 -21.26 18.77 -999 52.3 7.6 270.1 -4.2 -999 .7 -999 -999 -88.5 -12.2 -999 -999 2.442 1.001 20.83 -999 -13.52 -11.19 -11.6 -10.64 -10.18 -9.74 -10.05 -10.84 2.41 -1.58 -999 -999 -999 -999 -999 -999 124 12.23
2018 1 23 23 -999 -999 895 -20.73 19.35 -999 56 7.26 266.5 -2.3 -999 .6 -999 -999 -59.1 -9.1 -999 -999 2.44 1.002 20.78 -999 -13.53 -11.17 -11.62 -10.68 -10.21 -9.76 -10.07 -10.84 2.38 -1.56 -999 -999 -999 -999 -999 -999 123 12.22
2018 1 24 23 -999 -999 891 -23.15 16.85 -999 58.2 6.11 278.4 -3.5 -999 .7 -999 -999 -79.7 -13 -999 -999 2.449 1.005 20.78 -999 -13.54 -11.17 -11.65 -10.71 -10.24 -9.78 -10.08 -10.84 2.48 -1.56 -999 -999 -999 -999 -999 -999 125 12.21
2018 1 25 23 -999 -999 894 -23.83 16.19 -999 55.1 6.76 278.2 -3.3 -999 .7 -999 -999 -79.3 -12.1 -999 -999 2.45 1.007 20.79 -999 -13.58 -11.17 -11.66 -10.75 -10.28 -9.81 -10.09 -10.85 2.71 -1.46 -999 -999 -999 -999 -999 -999 130 12.19
2018 1 26 23 -999 -999 890 -19.56 20.46 -999 52.9 5.54 274.9 -3 -999 .8 -999 -999 -73.9 -15.3 -999 -999 2.426 .997 20.7 -999 -13.61 -11.18 -11.67 -10.79 -10.32 -9.84 -10.12 -10.85 2.28 -1.28 -999 -999 -999 -999 -999 -999 132 12.2
2018 1 27 23 -999 -999 888 -17.46 22.58 -999 61.4 6.16 264.8 -1.2 -999 .8 -999 -999 -42.1 -7.7 -999 -999 2.383 .992 20.73 -999 -13.66 -11.19 -11.71 -10.81 -10.35 -9.87 -10.14 -10.86 2.35 -1.56 -999 -999 -999 -999 -999 -999 124 12.22
2018 1 28 23 -999 -999 890 -13.33 26.72 -999 87 4.47 278.7 .1 -999 .6 -999 -999 -14.1 -3.6 -999 -999 2.377 .985 20.77 -999 -13.69 -11.2 -11.72 -10.85 -10.4 -9.9 -10.16 -10.86 2.32 -1.64 -999 -999 -999 -999 -999 -999 121 12.23
2018 1 29 23 -999 -999 893 -12.86 27.21 -999 87.6 4.23 275.7 .2 -999 .8 -999 -999 -19.2 -4.6 -999 -999 2.389 .98 20.81 -999 -13.69 -11.23 -11.75 -10.88 -10.42 -9.92 -10.17 -10.86 2.35 -1.53 -999 -999 -999 -999 -999 -999 123 12.24
2018 1 30 23 -999 -999 895 -18.04 22.07 -999 68.5 6.84 259.7 -1.1 -999 1.5 -999 -999 -59.7 -8.7 -999 -999 2.41 .998 20.83 -999 -13.66 -11.23 -11.76 -10.9 -10.46 -9.94 -10.19 -10.87 2.39 -1.63 -999 -999 -999 -999 -999 -999 130 12.22
2018 1 31 23 -999 -999 899 -20.2 19.85 -999 58.3 7.3 272.2 -1.9 -999 1.7 -999 -999 -82.8 -12.7 -999 -999 2.429 1.011 20.95 -999 -13.61 -11.25 -11.78 -10.92 -10.47 -9.97 -10.21 -10.86 2.43 -1.78 -999 -999 -999 -999 -999 -999 122 12.21
2018 2 1 23 -999 -999 903 -23.05 17.01 -999 59.8 5.51 272 -.5 -999 1.2 -999 -999 -43.8 -7.2 -999 -999 2.414 1.004 20.84 -999 -13.61 -11.25 -11.8 -10.95 -10.5 -9.99 -10.22 -10.86 2.39 -1.59 -999 -999 -999 -999 -999 -999 126 12.18
2018 2 2 23 -999 -999 884 -17.37 22.72 -999 83.2 4.68 284 1.4 -999 1 -999 -999 -2.5 -1 -999 -999 2.372 .966 20.43 -999 -13.63 -11.26 -11.83 -10.99 -10.53 -10.02 -10.25 -10.87 2.38 -1.37 -999 -999 -999 -999 -999 -999 121 12.19
2018 2 3 23 -999 -999 872 -17.25 22.83 -999 75.4 6.21 266.6 -.2 -999 2 -999 -999 -54.3 -8.5 -999 -999 2.391 .997 20.56 -999 -13.65 -11.28 -11.85 -11.01 -10.57 -10.04 -10.27 -10.87 2.08 -2.66 -999 -999 -999 -999 -999 -999 129 12.19
2018 2 4 23 -999 -999 865 -19.08 20.95 -999 71.6 5.31 273.7 .4 -999 2.1 -999 -999 -43.8 -7.5 -999 -999 2.372 1.002 20.28 -999 -13.65 -11.29 -11.86 -11.03 -10.59 -10.06 -10.29 -10.88 2.59 -1.38 -999 -999 -999 -999 -999 -999 129 12.19
2018 2 5 23 -999 -999 868 -22.53 17.54 -999 62.3 7.57 251.8 2.5 -999 4 -999 -999 -71 -9 -999 -999 2.456 1.021 20.63 -999 -13.66 -11.3 -11.89 -11.06 -10.6 -10.08 -10.3 -10.86 2.45 -1.73 -999 -999 -999 -999 -999 -999 123 12.19
2018 2 6 23 -999 -999 891 -28.66 11.32 -999 56.1 6.68 272.9 -.3 -999 2.7 -999 -999 -75.7 -9.9 -999 -999 2.464 1.026 20.76 -999 -13.66 -11.3 -11.89 -11.08 -10.63 -10.11 -10.31 -10.87 2.43 -1.48 -999 -999 -999 -999 -999 -999 124 12.15
2018 2 7 23 -999 -999 881 -23.32 16.74 -999 70.4 4.23 286.6 4.1 -999 2.8 -999 -999 -6.4 -2.3 -999 -999 2.408 1.002 20.48 -999 -13.71 -11.33 -11.92 -11.11 -10.68 -10.14 -10.33 -10.89 2.38 -1.78 -999 -999 -999 -999 -999 -999 123 12.15
2018 2 8 23 -999 -999 870 -19.52 20.57 -999 68.6 6.1 272.9 3.4 -999 3.1 -999 -999 -29.8 -5.6 -999 -999 2.425 1.011 20.45 -999 -13.78 -11.34 -11.93 -11.12 -10.69 -10.16 -10.36 -10.88 2.35 -1.68 -999 -999 -999 -999 -999 -999 133 12.15
2018 2 9 23 -999 -999 874 -25.89 14.17 -999 58.4 8.6 264.5 2 -999 3.7 -999 -999 -70.7 -8.7 -999 -999 2.466 1.027 20.6 -999 -13.83 -11.36 -11.95 -11.15 -10.7 -10.16 -10.36 -10.87 2.56 -1.73 -999 -999 -999 -999 -999 -999 128 12.14
2018 2 10 23 -999 -999 880 -27.04 13 -999 52.9 7.63 268.3 2.2 -999 3.9 -999 -999 -73.1 -11 -999 -999 2.441 1.016 20.65 -999 -13.87 -11.38 -11.98 -11.17 -10.73 -10.2 -10.39 -10.88 2.35 -1.59 -999 -999 -999 -999 -999 -999 123 12.14
2018 2 11 23 -999 -999 884 -18.17 21.9 -999 63.4 5.08 301.6 6 -999 4.4 -999 -999 -16.9 -5.5 -999 -999 2.375 .988 20.62 -999 -13.94 -11.42 -11.99 -11.2 -10.77 -10.23 -10.4 -10.9 2.38 -1.5 -999 -999 -999 -999 -999 -999 123 12.16
2018 2 12 23 -999 -999 882 -14.93 25.15 -999 78.7 4.44 271.3 6.2 -999 5 -999 -999 -23.5 -5.7 -999 -999 2.34 .949 20.59 -999 -13.99 -11.45 -12.03 -11.23 -10.79 -10.24 -10.43 -10.9 2.3 -1.62 -999 -999 -999 -999 -999 -999 119 12.18
2018 2 13 23 -999 -999 883 -14.65 25.43 -999 78.1 4.9 271.3 7.4 -999 5.6 -999 -999 -27.1 -6.6 -999 -999 2.341 .95 20.66 -999 -14.02 -11.5 -12.04 -11.25 -10.81 -10.26 -10.45 -10.91 2.34 -1.49 -999 -999 -999 -999 -999 -999 124 12.19
2018 2 14 23 -999 -999 883 -11.85 28.23 -999 83.8 4.47 270.6 11.1 -999 7.7 -999 -999 -16.1 -4.5 -999 -999 2.312 .941 20.64 -999 -13.99 -11.52 -12.06 -11.27 -10.84 -10.29 -10.47 -10.91 2.38 -1.58 -999 -999 -999 -999 -999 -999 122 12.2
2018 2 15 23 -999 -999 883 -10.19 29.92 -999 88.2 4.9 276.8 8.5 -999 6.1 -999 -999 -14.7 -3.9 -999 -999 2.231 .912 20.62 -999 -13.98 -11.55 -12.09 -11.3 -10.86 -10.31 -10.48 -10.93 2.39 -1.56 -999 -999 -999 -999 -999 -999 120 12.2
2018 2 16 23 -999 -999 884 -7.02 33.09 -999 91.9 5.22 282.2 11.6 -999 8.3 -999 -999 -12.8 -3.5 -999 -999 2.231 .884 20.69 -999 -13.91 -11.58 -12.12 -11.33 -10.89 -10.33 -10.5 -10.92 2.31 -1.56 -999 -999 -999 -999 -999 -999 124 12.19
2018 2 17 23 -999 -999 893 -6.61 33.5 -999 89.4 3.99 267.3 11.5 -999 8.2 -999 -999 -22.9 -5.6 -999 -999 2.251 .903 20.87 -999 -13.84 -11.58 -12.15 -11.34 -10.9 -10.36 -10.52 -10.93 2.36 -1.63 -999 -999 -999 -999 -999 -999 124 12.21
2018 2 18 23 -999 -999 902 -9.83 30.27 -999 93.3 3.67 261.8 11.6 -999 8.8 -999 -999 -31 -6.5 -999 -999 2.273 .867 20.99 -999 -13.73 -11.59 -12.16 -11.36 -10.92 -10.36 -10.53 -10.92 2.37 -1.56 -999 -999 -999 -999 -999 -999 122 12.21
2018 2 19 23 -999 -999 901 -10.63 29.46 -999 86.5 4.38 268.6 12.8 -999 9.1 -999 -999 -13.5 -3.7 -999 -999 2.257 .873 20.79 -999 -13.65 -11.59 -12.19 -11.38 -10.95 -10.39 -10.56 -10.92 2.45 -1.7 -999 -999 -999 -999 -999 -999 124 12.21
2018 2 20 23 -999 -999 887 -9.85 30.27 -999 89.6 4.34 262.6 17.7 -999 12.1 -999 -999 -18.2 -4.2 -999 -999 2.267 .849 20.64 -999 -13.56 -11.57 -12.21 -11.41 -10.97 -10.42 -10.57 -10.94 2.33 -1.58 -999 -999 -999 -999 -999 -999 124 12.21
2018 2 21 23 -999 -999 889 -14.58 25.5 -999 60.7 4.96 267.2 14.8 -999 11 -999 -999 -49.1 -9.5 -999 -999 2.274 .864 20.73 -999 -13.48 -11.54 -12.22 -11.42 -10.99 -10.43 -10.58 -10.94 2.4 -1.41 -999 -999 -999 -999 -999 -999 122 12.22
2018 2 22 23 -999 -999 875 -13.57 26.56 -999 87.7 4.77 282 22.4 -999 15.1 -999 -999 -13.5 -3 -999 -999 2.238 .82 20.43 -999 -13.43 -11.53 -12.23 -11.45 -11.03 -10.46 -10.61 -10.95 2.32 -1.87 -999 -999 -999 -999 -999 -999 119 12.23
