Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 10 23 -999 -999 880 -4.99 34.99 -999 97.6 0 0 -.3 -999 -.5 -999 -999 -.1 -.1 -999 -999 0 1.349 10.88 -999 -8.27 -8.54 -4.95 -6.21 -3.26 -3.86 -2.36 -2.79 -9999 -9999 -999 -999 -999 -999 -999 -999 11 12.38
2018 1 11 23 -999 -999 887 -7.28 32.69 -999 95.2 0 0 -.2 -999 -.3 -999 -999 0 0 -999 -999 4.28 1.356 10.88 -999 -8.07 -8.27 -4.99 -6.23 -3.29 -3.9 -2.36 -2.8 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.38
2018 1 12 23 -999 -999 872 -7.8 32.15 -999 94.4 0 0 .3 -999 .3 -999 -999 0 0 -999 -999 4.711 0 10.85 -999 -7.92 -8.22 -5.04 -6.23 -3.32 -3.94 -2.36 -2.82 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.38
2018 1 13 23 -999 -999 862 -13.66 26.3 -999 88.1 0 0 1 -999 1.1 -999 -999 0 .1 -999 -999 4.207 0 10.85 -999 -7.82 -8.2 -5.09 -6.23 -3.34 -3.99 -2.38 -2.84 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.37
2018 1 14 23 -999 -999 857 -19.35 20.55 -999 81.8 0 0 1.3 -999 1.2 -999 -999 0 .1 -999 -999 2.326 1.337 10.85 -999 -7.75 -8.41 -5.12 -6.2 -3.36 -4.01 -2.39 -2.89 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.36
2018 1 15 23 -999 -999 860 -19.23 20.68 -999 81.9 0 0 1.5 -999 1.4 -999 -999 .1 .1 -999 -999 4.254 0 10.88 -999 -7.79 -9.07 -5.15 -6.19 -3.4 -4.05 -2.38 -2.89 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.36
2018 1 16 23 -999 -999 875 -20.45 19.44 -999 80.8 0 0 1.9 -999 2.1 -999 -999 0 .2 -999 -999 4.289 1.23 10.91 -999 -7.96 -9.5 -5.17 -6.18 -3.42 -4.08 -2.38 -2.9 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.3
2018 1 17 23 -999 -999 884 -13.89 26.03 -999 87.4 0 0 2.1 -999 2.4 -999 -999 -.1 .1 -999 -999 4.795 1.225 10.9 -999 -8.14 -9.56 -5.2 -6.19 -3.45 -4.12 -2.4 -2.92 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.34
2018 1 18 23 -999 -999 892 -12.4 27.54 -999 88.9 0 0 2 -999 2.3 -999 -999 -.1 .1 -999 -999 0 1.217 10.94 -999 -8.24 -9.48 -5.22 -6.21 -3.48 -4.14 -2.39 -2.94 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.34
2018 1 19 23 -999 -999 901 -11.68 28.32 -999 89.9 0 0 1.4 -999 1.9 -999 -999 -.1 .1 -999 -999 4.705 1.23 10.94 -999 -8.27 -9.26 -5.24 -6.24 -3.5 -4.16 -2.4 -2.95 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.28
2018 1 20 23 -999 -999 903 -14.39 25.54 -999 86.9 0 0 2.1 -999 2.3 -999 -999 -.1 .1 -999 -999 5.129 1.226 10.96 -999 -8.28 -9.42 -5.26 -6.29 -3.53 -4.2 -2.4 -2.98 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.33
2018 1 21 23 -999 -999 902 -11.84 28.18 -999 89.3 0 0 1.8 -999 2.2 -999 -999 -.1 .1 -999 -999 0 1.223 10.96 -999 -8.31 -9.35 -5.28 -6.32 -3.55 -4.22 -2.41 -3 -9999 -9999 -999 -999 -999 -999 -999 -999 116 12.3
2018 1 22 23 -999 -999 894 -10.46 29.5 -999 90.8 0 0 1.4 -999 1.7 -999 -999 -.1 .1 -999 -999 3.985 1.22 10.91 -999 -8.31 -9.2 -5.31 -6.34 -3.57 -4.25 -2.41 -3.01 -9999 -9999 -999 -999 -999 -999 -999 -999 114 12.3
2018 1 23 23 -999 -999 891 -8.53 31.58 -999 88.6 0 0 1 -999 1.3 -999 -999 -.1 0 -999 -999 0 1.218 10.95 -999 -8.29 -9.04 -5.34 -6.38 -3.61 -4.28 -2.42 -3.03 -9999 -9999 -999 -999 -999 -999 -999 -999 11 12.32
2018 1 24 23 -999 -999 901 -13.88 26.18 -999 83.9 0 0 1.6 -999 1.8 -999 -999 0 .1 -999 -999 4.735 1.238 10.98 -999 -8.24 -9 -5.36 -6.42 -3.62 -4.29 -2.42 -3.04 -9999 -9999 -999 -999 -999 -999 -999 -999 11 12.27
2018 1 25 23 -999 -999 901 -14.15 25.78 -999 85.6 0 0 2.4 -999 2.8 -999 -999 -.2 .2 -999 -999 0 1.071 10.99 -999 -8.24 -9.35 -5.39 -6.42 -3.65 -4.33 -2.42 -3.07 -9999 -9999 -999 -999 -999 -999 -999 -999 11 12.31
2018 1 26 23 -999 -999 893 -8.75 31.24 -999 92.9 0 0 1.2 -999 1.5 -999 -999 -.2 .1 -999 -999 0 1.222 10.95 -999 -8.29 -9.14 -5.42 -6.44 -3.66 -4.36 -2.45 -3.09 -9999 -9999 -999 -999 -999 -999 -999 -999 11 12.31
2018 1 27 23 -999 -999 888 -12.6 27.37 -999 89 0 0 .9 -999 1.2 -999 -999 -.1 .1 -999 -999 4.751 1.237 10.95 -999 -8.26 -8.98 -5.43 -6.44 -3.7 -4.39 -2.44 -3.1 -9999 -9999 -999 -999 -999 -999 -999 -999 11 12.24
2018 1 28 23 -999 -999 889 -12.5 27.5 -999 88.9 0 0 1.5 -999 1.8 -999 -999 -.1 .1 -999 -999 4.75 1.23 10.98 -999 -8.25 -9.27 -5.46 -6.47 -3.71 -4.41 -2.44 -3.12 -9999 -9999 -999 -999 -999 -999 -999 -999 11 12.3
2018 1 29 23 -999 -999 895 -8.97 30.96 -999 92.6 0 0 1.1 -999 1.4 -999 -999 -.2 .1 -999 -999 0 1.186 10.99 -999 -8.28 -9.15 -5.49 -6.48 -3.73 -4.43 -2.44 -3.14 -9999 -9999 -999 -999 -999 -999 -999 -999 11 12.3
2018 1 30 23 -999 -999 896 -9.3 30.74 -999 92.4 0 0 .8 -999 1 -999 -999 -.1 .1 -999 -999 0 1.213 11.02 -999 -8.28 -8.96 -5.52 -6.5 -3.77 -4.46 -2.45 -3.17 -9999 -9999 -999 -999 -999 -999 -999 -999 11 12.3
2018 1 31 23 -999 -999 907 -14.47 25.54 -999 86.9 0 0 1.1 -999 1.3 -999 -999 -.1 .1 -999 -999 4.773 1.211 11.07 -999 -8.22 -8.86 -5.53 -6.51 -3.77 -4.48 -2.46 -3.18 -9999 -9999 -999 -999 -999 -999 -999 -999 11 12.29
2018 2 1 23 -999 -999 894 -9.08 30.88 -999 92.5 0 0 1.1 -999 1.3 -999 -999 -.1 .1 -999 -999 0 0 10.98 -999 -8.2 -8.94 -5.56 -6.53 -3.8 -4.51 -2.48 -3.22 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.29
2018 2 2 23 -999 -999 877 -13.51 26.43 -999 87.9 0 0 1 -999 1.2 -999 -999 -.1 .1 -999 -999 0 0 10.99 -999 -8.19 -8.79 -5.57 -6.53 -3.85 -4.52 -2.46 -3.23 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.26
2018 2 3 23 -999 -999 884 -16.12 23.81 -999 85 0 0 1.4 -999 1.7 -999 -999 -.1 .1 -999 -999 0 1.23 10.97 -999 -8.14 -8.94 -5.59 -6.53 -3.85 -4.56 -2.48 -3.24 -9999 -9999 -999 -999 -999 -999 -999 -999 11 12.28
2018 2 4 23 -999 -999 871 -12.54 27.38 -999 88.9 0 0 1.3 -999 1.6 -999 -999 -.1 .1 -999 -999 4.265 1.256 10.96 -999 -8.16 -8.97 -5.61 -6.53 -3.87 -4.59 -2.48 -3.26 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.27
2018 2 5 23 -999 -999 875 -22.67 -9999 -999 61.7 .01 30.9 2.1 -999 2.3 -999 -999 0 .2 -999 -999 0 0 11.03 -999 -8.19 -9.21 -5.59 -6.55 -3.89 -4.63 -2.48 -3.28 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.25
2018 2 6 23 -999 -999 887 -19.19 20.78 -999 82.1 0 41.6 2.3 -999 2.7 -999 -999 -.1 .2 -999 -999 3.785 0 10.93 -999 -8.26 -9.77 -5.65 -6.55 -3.91 -4.62 -2.51 -3.31 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.25
2018 2 7 23 -999 -999 867 -13.53 26.45 -999 87.8 0 0 1.7 -999 2.3 -999 -999 -.3 .1 -999 -999 4.283 0 10.91 -999 -8.45 -9.73 -5.67 -6.56 -3.94 -4.64 -2.52 -3.32 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.25
2018 2 8 23 -999 -999 873 -22.72 17.22 -999 78.7 0 30.4 1.7 -999 2 -999 -999 0 .2 -999 -999 4.266 0 10.91 -999 -8.52 -9.75 -5.69 -6.6 -3.96 -4.67 -2.52 -3.34 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.24
2018 2 9 23 -999 -999 875 -15.23 24.75 -999 85.9 0 0 2 -999 2.3 -999 -999 -.1 .1 -999 -999 4.732 1.123 10.9 -999 -8.6 -9.97 -5.71 -6.63 -3.98 -4.68 -2.52 -3.35 -9999 -9999 -999 -999 -999 -999 -999 -999 11 12.19
2018 2 10 23 -999 -999 876 -17.3 22.71 -999 83.8 0 0 2 -999 2.3 -999 -999 -.2 .1 -999 -999 4.255 1.085 10.9 -999 -8.69 -9.91 -5.73 -6.68 -4.01 -4.7 -2.53 -3.37 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.23
2018 2 11 23 -999 -999 877 -20.82 19.23 -999 80.2 0 0 2.2 -999 2.6 -999 -999 -.1 .2 -999 -999 4.28 1.135 10.87 -999 -8.74 -9.95 -5.75 -6.72 -4.02 -4.73 -2.54 -3.39 -9999 -9999 -999 -999 -999 -999 -999 -999 10 12.24
