Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 959 -6.94 32.95 -999 51.1 7.63 13.8 17.5 -999 6.2 -999 -999 -56.4 -14.3 -999 -999 2.605 3.259 20.72 -999 -10.16 -8.13 -4.83 -4.61 -3.23 -1.95 -1.31 -.16 3.32 -6.02 -999 -999 -999 -999 -999 -999 115 12.54
2018 1 18 23 -999 -999 968 -5.18 34.69 -999 51.8 6.25 12.4 4.8 -999 2.8 -999 -999 -44.7 -15 -999 -999 2.588 3.239 20.94 -999 -8.9 -8.2 -4.93 -4.62 -3.26 -1.99 -1.35 -.16 3.38 -5.98 -999 -999 -999 -999 -999 -999 117 12.49
2018 1 19 23 -999 -999 978 -5.55 34.37 -999 63.8 4.09 11.6 5.8 -999 3.5 -999 -999 -51.9 -13.2 -999 -999 2.617 3.27 20.97 -999 -9.01 -8.04 -5.02 -4.65 -3.29 -2.04 -1.38 -.17 3.47 -6.06 -999 -999 -999 -999 -999 -999 121 12.48
2018 1 20 23 -999 -999 980 -7.29 32.62 -999 59.4 7.88 23.1 3.4 -999 2.7 -999 -999 -57.7 -12.8 -999 -999 2.599 3.249 20.99 -999 -9.23 -7.95 -5.07 -4.68 -3.33 -2.08 -1.42 -.17 2.44 -5.91 -999 -999 -999 -999 -999 -999 133 12.48
2018 1 21 23 -999 -999 979 -4.94 34.96 -999 48.3 6.85 28 6 -999 3.2 -999 -999 -47.5 -14 -999 -999 2.591 3.239 20.96 -999 -8.65 -7.91 -5.09 -4.73 -3.35 -2.11 -1.45 -.17 3.57 -6.04 -999 -999 -999 -999 -999 -999 130 12.49
2018 1 22 23 -999 -999 971 -3.59 36.29 -999 48.6 6.24 30.6 10.3 -999 4.6 -999 -999 -56.9 -16.2 -999 -999 2.58 3.229 20.78 -999 -8 -7.76 -5.1 -4.76 -3.38 -2.14 -1.48 -.19 3.31 -5.95 -999 -999 -999 -999 -999 -999 120 12.5
2018 1 23 23 -999 -999 967 -1.73 38.13 -999 43.5 7.5 23.7 4.2 -999 2.3 -999 -999 -45.1 -17.5 -999 -999 2.581 3.228 20.92 -999 -6.85 -7.56 -5.1 -4.8 -3.42 -2.19 -1.51 -.19 3.27 -5.99 -999 -999 -999 -999 -999 -999 117 12.51
2018 1 24 23 -999 -999 978 -5.92 33.96 -999 48.7 5.73 12.3 25.7 -999 9.1 -999 -999 -91.8 -16.3 -999 -999 2.602 3.26 20.99 -999 -8.84 -7.3 -5.06 -4.83 -3.46 -2.22 -1.55 -.21 3.28 -6 -999 -999 -999 -999 -999 -999 118 12.68
2018 1 25 23 -999 -999 979 -8.37 31.57 -999 71.1 3.86 36.2 4.2 -999 3.8 -999 -999 -38 -9.2 -999 -999 2.588 3.215 20.95 -999 -9.29 -7.39 -5.01 -4.84 -3.49 -2.25 -1.57 -.19 3.45 -6.08 -999 -999 -999 -999 -999 -999 125 12.51
2018 1 26 23 -999 -999 969 -3.64 36.28 -999 70.9 4.55 53.7 9 -999 4.9 -999 -999 -24 -9.4 -999 -999 2.601 3.165 20.78 -999 -7.25 -7.52 -4.99 -4.85 -3.53 -2.29 -1.61 -.21 3.32 -6.02 -999 -999 -999 -999 -999 -999 115 12.5
