Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 941 -15.4 24.46 -999 56.3 4.75 87.1 -3.3 -999 .6 -999 -999 -63 -16 -999 -999 2.406 2.048 5.647 -999 -17.45 -16.93 -14.13 -12.06 -11.12 -10.31 -9.84 -9.71 .62 -.04 -999 -999 -999 -999 -999 -999 5 12.76
2018 1 18 23 -999 -999 942 -15.35 24.53 -999 59.2 6.61 114.9 -3.6 -999 .7 -999 -999 -67.1 -13.3 -999 -999 2.427 2.075 5.703 -999 -17.12 -16.64 -14.23 -12.14 -11.17 -10.34 -9.88 -9.71 .74 -.15 -999 -999 -999 -999 -999 -999 5 12.76
2018 1 19 23 -999 -999 949 -17.51 22.3 -999 53 2.47 98.5 -4 -999 1.6 -999 -999 -67.1 -22.5 -999 -999 2.384 2.048 5.702 -999 -18.1 -17.11 -14.28 -12.2 -11.22 -10.37 -9.9 -9.72 .71 -.22 -999 -999 -999 -999 -999 -999 6 12.76
2018 1 20 23 -999 -999 943 -11.94 27.79 -999 34.3 3.93 105.3 -4.1 -999 1.3 -999 -999 -83.8 -31.7 -999 -999 2.398 2.053 5.642 -999 -18 -17.24 -14.37 -12.26 -11.26 -10.41 -9.92 -9.72 .78 -.29 -999 -999 -999 -999 -999 -999 5 12.76
2018 1 21 23 -999 -999 941 -16.01 23.88 -999 44 5.23 112.4 -3.7 -999 .7 -999 -999 -74 -23.9 -999 -999 2.415 2.069 5.65 -999 -18.26 -17.36 -14.46 -12.32 -11.32 -10.46 -9.94 -9.73 .61 -.04 -999 -999 -999 -999 -999 -999 5 12.75
2018 1 22 23 -999 -999 941 -19.24 20.7 -999 46.3 6.49 119.1 -3.1 -999 .6 -999 -999 -66.7 -16.9 -999 -999 2.41 2.063 5.622 -999 -18.64 -17.63 -14.56 -12.39 -11.37 -10.5 -9.97 -9.74 .45 -.05 -999 -999 -999 -999 -999 -999 5 12.75
2018 1 23 23 -999 -999 938 -17.97 21.94 -999 41.8 5.51 118.3 -3.6 -999 .7 -999 -999 -72.1 -20.6 -999 -999 2.429 2.079 5.604 -999 -18.83 -17.75 -14.64 -12.46 -11.43 -10.53 -10 -9.75 .75 .11 -999 -999 -999 -999 -999 -999 5 12.74
2018 1 24 23 -999 -999 941 -19.71 20.26 -999 56.2 8.63 118.8 -2.7 -999 .4 -999 -999 -58.3 -9.6 -999 -999 2.411 2.062 5.655 -999 -18.72 -17.89 -14.74 -12.51 -11.47 -10.56 -10.02 -9.74 .65 -.17 -999 -999 -999 -999 -999 -999 5 12.74
2018 1 25 23 -999 -999 938 -20.22 19.75 -999 69.6 3.03 84 -1.4 -999 .3 -999 -999 -21.9 -5 -999 -999 2.436 2.082 5.524 -999 -18.21 -17.66 -14.85 -12.6 -11.53 -10.61 -10.05 -9.76 .76 -.13 -999 -999 -999 -999 -999 -999 5 12.75
2018 1 26 23 -999 -999 929 -22.9 17.07 -999 57.1 8.63 115.6 -2.5 -999 .6 -999 -999 -46.5 -6.6 -999 -999 2.428 2.078 5.552 -999 -18.53 -17.88 -14.93 -12.67 -11.58 -10.64 -10.08 -9.77 .68 -.3 -999 -999 -999 -999 -999 -999 5 12.74
2018 1 27 23 -999 -999 932 -26.82 13.17 -999 58.6 8.25 110.2 -2.4 -999 .4 -999 -999 -51.4 -4.7 -999 -999 2.45 2.029 5.575 -999 -19.06 -18.25 -15 -12.75 -11.63 -10.69 -10.1 -9.78 .63 -.12 -999 -999 -999 -999 -999 -999 5 12.73
2018 1 28 23 -999 -999 938 -26.86 13.1 -999 54.8 6.02 109.5 -2.9 -999 .7 -999 -999 -55.7 -10.5 -999 -999 2.422 2.02 5.627 -999 -19.37 -18.48 -15.11 -12.82 -11.67 -10.72 -10.13 -9.78 1.02 .11 -999 -999 -999 -999 -999 -999 5 12.71
2018 1 29 23 -999 -999 941 -24.84 15.08 -999 59.2 4.05 105.8 -3.3 -999 1 -999 -999 -63.7 -15.3 -999 -999 2.429 2.027 5.622 -999 -19.54 -18.66 -15.23 -12.88 -11.73 -10.77 -10.16 -9.79 .79 -.14 -999 -999 -999 -999 -999 -999 5 12.71
2018 1 30 23 -999 -999 942 -25.17 14.78 -999 57.3 6.97 105.3 -3.3 -999 .5 -999 -999 -62.6 -14 -999 -999 2.424 2.014 5.711 -999 -19.84 -18.9 -15.35 -12.95 -11.78 -10.8 -10.19 -9.8 .23 -.65 -999 -999 -999 -999 -999 -999 5 12.7
2018 1 31 23 -999 -999 953 -24.89 15.09 -999 62.6 9.5 119.2 -1.3 -999 .4 -999 -999 -27.3 -3.5 -999 -999 2.442 2.057 5.766 -999 -19.7 -18.99 -15.52 -13.03 -11.84 -10.84 -10.21 -9.8 .74 -.2 -999 -999 -999 -999 -999 -999 5 12.71
2018 2 1 23 -999 -999 932 -24.2 15.72 -999 48.9 5.23 87.7 -3.5 -999 .8 -999 -999 -65.1 -14.2 -999 -999 2.448 2.081 5.387 -999 -20.22 -19.32 -15.67 -13.15 -11.89 -10.87 -10.25 -9.78 3.14 -.2 -999 -999 -999 -999 -999 -999 5 12.7
