Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 915 -16 -16.28 -999 67.2 4.73 71.8 -3.5 -999 .3 -999 -999 -88.6 -10.8 -999 -999 1.609 .593 9.19 -999 -12.49 -12.78 -12.03 -11.18 -6.65 -9.29 -8.96 -9.46 .69 -.1 -999 -999 -999 -999 -999 -999 126 12.23
2018 1 18 23 -999 -999 915 -15.36 -15.58 -999 68.9 9.18 92.6 -3.5 -999 .3 -999 -999 -99.3 -8.5 -999 -999 1.643 .617 9.23 -999 -12.54 -12.83 -12.06 -11.22 -6.69 -9.33 -8.98 -9.47 -.22 -.5 -999 -999 -999 -999 -999 -999 122 12.24
2018 1 19 23 -999 -999 922 -17.1 -17.35 -999 58 4.8 80.9 -3.8 -999 .5 -999 -999 -100.6 -13.1 -999 -999 1.629 .617 9.23 -999 -12.55 -12.85 -12.1 -11.27 -6.73 -9.35 -8.99 -9.47 .75 -.32 -999 -999 -999 -999 -999 -999 121 12.21
2018 1 20 23 -999 -999 917 -13.54 -13.83 -999 39.8 4.32 85.1 -4.2 -999 .3 -999 -999 -115.3 -21.5 -999 -999 1.654 .624 9.18 -999 -12.55 -12.84 -12.12 -11.3 -6.76 -9.38 -9 -9.47 .7 -.16 -999 -999 -999 -999 -999 -999 127 12.22
2018 1 21 23 -999 -999 915 -18.95 -19.2 -999 57.6 4.14 90.6 -3.3 -999 .3 -999 -999 -97.6 -17.7 -999 -999 1.65 .625 9.18 -999 -12.55 -12.85 -12.05 -11.34 -6.79 -9.41 -9.03 -9.47 .65 -.16 -999 -999 -999 -999 -999 -999 123 12.22
2018 1 22 23 -999 -999 915 -21.17 -21.38 -999 57.9 5.01 97 -3.1 -999 .3 -999 -999 -91.6 -13 -999 -999 1.647 .622 9.17 -999 -12.57 -12.86 -12.05 -11.39 -6.84 -9.44 -9.04 -9.48 .64 -.29 -999 -999 -999 -999 -999 -999 124 12.22
2018 1 23 23 -999 -999 911 -19.9 -20.15 -999 51.1 4.51 91.4 -3.4 -999 .3 -999 -999 -98.2 -15.9 -999 -999 1.656 .629 9.15 -999 -12.6 -12.89 -12.09 -11.41 -6.87 -9.46 -9.07 -9.48 .63 -.26 -999 -999 -999 -999 -999 -999 124 12.2
2018 1 24 23 -999 -999 914 -20.89 -21.1 -999 69.2 8.15 96.8 -2.8 -999 .3 -999 -999 -81.9 -7.1 -999 -999 1.656 .631 9.18 -999 -12.66 -12.94 -12.14 -11.45 -6.9 -9.48 -9.09 -9.49 -.18 -1.02 -999 -999 -999 -999 -999 -999 123 12.2
2018 1 25 23 -999 -999 911 -21.79 -21.99 -999 80.9 6.72 76.5 -2.2 -999 .3 -999 -999 -34.3 -3.7 -999 -999 1.673 .67 9.06 -999 -12.72 -13.01 -12.2 -11.48 -6.94 -9.52 -9.11 -9.49 .69 -.22 -999 -999 -999 -999 -999 -999 126 12.2
2018 1 26 23 -999 -999 903 -24.2 -24.44 -999 71.1 6.72 99.5 -2.9 -999 .2 -999 -999 -67.6 -5.8 -999 -999 1.672 .661 9.09 -999 -12.78 -13.05 -12.27 -11.51 -6.96 -9.54 -9.12 -9.51 .71 -.15 -999 -999 -999 -999 -999 -999 127 12.19
2018 1 27 23 -999 -999 905 -28.44 -28.64 -999 75.7 8.15 91.2 -3.1 -999 .3 -999 -999 -78.2 -3.9 -999 -999 1.688 .662 9.1 -999 -12.83 -13.11 -12.33 -11.55 -7.01 -9.56 -9.15 -9.51 .56 -.23 -999 -999 -999 -999 -999 -999 122 12.18
2018 1 28 23 -999 -999 910 -28.06 -28.3 -999 76.2 5.35 97.2 -3.3 -999 .6 -999 -999 -67.7 -7.2 -999 -999 1.679 .647 9.15 -999 -12.9 -13.17 -12.39 -11.58 -7.04 -9.6 -9.17 -9.51 .63 -.63 -999 -999 -999 -999 -999 -999 122 12.17
2018 1 29 23 -999 -999 913 -26.31 -26.53 -999 77.4 6.14 96.1 -3.6 -999 .5 -999 -999 -78.2 -6.7 -999 -999 1.691 .667 9.14 -999 -12.99 -13.25 -12.44 -11.62 -7.07 -9.62 -9.19 -9.51 .69 -.2 -999 -999 -999 -999 -999 -999 126 12.16
2018 1 30 23 -999 -999 915 -27.62 -27.85 -999 76.4 5.98 90.1 -2.4 -999 .6 -999 -999 -39.3 -3 -999 -999 1.676 .651 9.23 -999 -13.1 -13.35 -12.52 -11.66 -7.1 -9.65 -9.2 -9.51 .64 -.37 -999 -999 -999 -999 -999 -999 123 12.17
2018 1 31 23 -999 -999 926 -26.08 -26.28 -999 77.7 8.76 98.5 -1.4 -999 .3 -999 -999 -36.4 -2.5 -999 -999 1.687 .659 9.29 -999 -13.22 -13.46 -12.61 -11.7 -7.13 -9.68 -9.23 -9.53 .74 -.2 -999 -999 -999 -999 -999 -999 124 12.16
2018 2 1 23 -999 -999 905 -26.33 -26.6 -999 71.5 6.01 84.3 -3.6 -999 .5 -999 -999 -86.2 -7.3 -999 -999 1.685 .652 8.94 -999 -13.33 -13.57 -12.69 -11.74 -7.15 -9.69 -9.24 -9.55 .86 -.64 -999 -999 -999 -999 -999 -999 123 12.14
2018 2 2 23 -999 -999 901 -29.69 -29.84 -999 75.2 11.68 103.5 -2 -999 .3 -999 -999 -53 -2.1 -999 -999 1.703 .656 9.09 -999 -13.43 -13.66 -12.78 -11.79 -7.19 -9.72 -9.26 -9.53 .72 -.22 -999 -999 -999 -999 -999 -999 121 12.14
2018 2 3 23 -999 -999 900 -29.39 -29.64 -999 73.8 4.72 74.9 -3.9 -999 .7 -999 -999 -74.8 -6.5 -999 -999 1.677 .64 8.9 -999 -13.53 -13.75 -12.87 -11.83 -7.22 -9.75 -9.28 -9.55 .63 -.22 -999 -999 -999 -999 -999 -999 117 12.14
2018 2 4 23 -999 -999 880 -26.08 -26.3 -999 71.8 6.94 97.5 -2.5 -999 .4 -999 -999 -66.8 -7.3 -999 -999 1.692 .658 8.99 -999 -13.64 -13.85 -12.96 -11.89 -7.27 -9.78 -9.3 -9.56 .21 .7 -999 -999 -999 -999 -999 -999 125 12.13
2018 2 5 23 -999 -999 908 -30.96 -31.13 -999 74.2 11.34 106.2 -1.5 -999 .4 -999 -999 -56.5 -1.7 -999 -999 1.7 .664 9.19 -999 -13.76 -13.96 -13.06 -11.95 -7.29 -9.8 -9.32 -9.56 .27 -.2 -999 -999 -999 -999 -999 -999 121 12.14
2018 2 6 23 -999 -999 910 -29.91 -30.1 -999 74.7 10.05 80.7 -2.5 -999 .8 -999 -999 -74 -3.7 -999 -999 1.678 .657 8.89 -999 -13.86 -14.06 -13.15 -12.01 -7.34 -9.83 -9.34 -9.56 1.02 -1.44 -999 -999 -999 -999 -999 -999 125 12.13
2018 2 7 23 -999 -999 885 -23.32 -23.59 -999 77.3 10.63 100.3 -2.4 -999 .8 -999 -999 -87.7 -6.5 -999 -999 1.682 .658 8.99 -999 -13.97 -14.17 -13.24 -12.07 -7.37 -9.86 -9.37 -9.56 .13 .58 -999 -999 -999 -999 -999 -999 120 12.12
2018 2 8 23 -999 -999 904 -28.75 -28.92 -999 76 11.46 105 -1.6 -999 .5 -999 -999 -60.5 -2.4 -999 -999 1.688 .671 9.1 -999 -14.06 -14.26 -13.33 -12.12 -7.42 -9.89 -9.38 -9.57 .54 -.21 -999 -999 -999 -999 -999 -999 117 12.12
2018 2 9 23 -999 -999 903 -30.07 -30.28 -999 75 4 70.5 -1.2 -999 1.3 -999 -999 -26 -1.3 -999 -999 1.699 .65 9.01 -999 -14.14 -14.35 -13.43 -12.18 -7.45 -9.91 -9.4 -9.58 .7 -.08 -999 -999 -999 -999 -999 -999 116 12.11
2018 2 10 23 -999 -999 903 -32 -32.34 -999 73.4 3.52 113.7 -2.1 -999 2.5 -999 -999 -15.1 -.5 -999 -999 1.712 .676 9.08 -999 -14.21 -14.42 -13.5 -12.24 -7.5 -9.94 -9.43 -9.59 .76 -.2 -999 -999 -999 -999 -999 -999 116 12.12
2018 2 11 23 -999 -999 908 -33.61 -33.87 -999 72.2 3.17 92.2 0 -999 2.8 -999 -999 -7.2 -.2 -999 -999 1.702 .671 9.08 -999 -14.32 -14.5 -13.57 -12.3 -7.53 -9.97 -9.44 -9.6 .75 -.32 -999 -999 -999 -999 -999 -999 118 12.1
2018 2 12 23 -999 -999 905 -29.41 -29.72 -999 71.8 4.95 80.7 -1.1 -999 1.6 -999 -999 -41.7 -6.6 -999 -999 1.703 .663 9.08 -999 -14.44 -14.6 -13.66 -12.37 -7.57 -10 -9.47 -9.6 .46 .41 -999 -999 -999 -999 -999 -999 120 12.1
2018 2 13 23 -999 -999 901 -29.17 -29.4 -999 69.7 6.95 87.1 .3 -999 2.3 -999 -999 -84.3 -7.8 -999 -999 1.695 .665 9.02 -999 -14.58 -14.74 -13.76 -12.42 -7.62 -10.03 -9.49 -9.6 .69 -.27 -999 -999 -999 -999 -999 -999 122 12.15
2018 2 14 23 -999 -999 899 -20.36 -20.68 -999 68.4 7.25 84.6 -.7 -999 2.3 -999 -999 -96.3 -10.1 -999 -999 1.67 .657 9.04 -999 -14.72 -14.87 -13.88 -12.49 -7.66 -10.05 -9.52 -9.62 .65 -.26 -999 -999 -999 -999 -999 -999 126 12.09
