Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 982 -20.35 -21.37 -999 54.5 2.69 124 -1.2 -999 .9 -999 -999 -50.7 -13.7 -999 -999 1.388 2.504 14.53 -999 -14.29 -14.25 -14.45 -14.31 -14.01 -14.03 -13.89 -11.9 -1.92 -.32 -999 -999 -999 -999 -999 -999 118 12.22
2018 1 18 23 -999 -999 986 -19.77 -20.68 -999 77.1 2.28 121 -.5 -999 .4 -999 -999 -28.7 -8.6 -999 -999 1.384 2.493 14.63 -999 -14.58 -14.58 -14.8 -14.61 -14.24 -14.24 -14.13 -12.02 -1.96 -.32 -999 -999 -999 -999 -999 -999 120 12.22
2018 1 19 23 -999 -999 988 -20.87 -21.76 -999 81.7 .8 90.7 -1.3 -999 .6 -999 -999 -5.9 -1.1 -999 -999 1.398 2.511 14.56 -999 -14.64 -14.66 -14.89 -14.65 -14.29 -14.26 -14.15 -12.18 -1.93 -.32 -999 -999 -999 -999 -999 -999 119 12.22
2018 1 20 23 -999 -999 983 -15.35 -16.35 -999 71.1 4.04 149.3 -1.9 -999 .9 -999 -999 -44.7 -10.9 -999 -999 1.372 2.468 14.52 -999 -14.83 -14.92 -15.14 -14.92 -14.51 -14.46 -14.4 -12.33 -2.13 -.43 -999 -999 -999 -999 -999 -999 117 12.24
2018 1 21 23 -999 -999 980 -10.51 -11.55 -999 57.1 6.07 146.6 -1.3 -999 .8 -999 -999 -75.2 -18.9 -999 -999 1.333 2.484 14.54 -999 -14.61 -14.75 -14.88 -14.7 -14.35 -14.25 -14.25 -12.47 -1.84 -.29 -999 -999 -999 -999 -999 -999 116 12.27
2018 1 22 23 -999 -999 981 -9.9 -10.8 -999 50.2 7.24 143.1 -1.1 -999 .8 -999 -999 -77.8 -17.2 -999 -999 1.341 2.487 14.52 -999 -14.14 -14.32 -14.4 -14.25 -14.02 -14.01 -13.93 -12.55 -1.99 -.36 -999 -999 -999 -999 -999 -999 116 12.26
2018 1 23 23 -999 -999 979 -14.34 -15.48 -999 66.2 1.75 132.4 -1 -999 1.1 -999 -999 -54.5 -18.9 -999 -999 1.363 2.519 14.54 -999 -14.48 -14.59 -14.75 -14.6 -14.45 -14.59 -14.25 -12.55 -1.93 -.3 -999 -999 -999 -999 -999 -999 118 12.23
2018 1 24 23 -999 -999 985 -18.28 -19.43 -999 76.3 1.34 137 -1.7 -999 1.1 -999 -999 -17 -6.4 -999 -999 1.362 2.519 14.6 -999 -15.3 -15.34 -15.58 -15.4 -15.19 -15.36 -14.96 -12.61 -1.94 -.3 -999 -999 -999 -999 -999 -999 117 12.18
2018 1 25 23 -999 -999 980 -19.36 -20.39 -999 67.7 1.91 137.3 -.5 -999 1 -999 -999 -46.8 -14.9 -999 -999 1.373 2.537 14.44 -999 -15.86 -15.87 -16.16 -15.92 -15.69 -15.85 -15.42 -12.79 -2.05 -.36 -999 -999 -999 -999 -999 -999 117 12.19
2018 1 26 23 -999 -999 975 -20.91 -21.69 -999 81 .56 78.7 -.1 -999 .4 -999 -999 -.5 0 -999 -999 1.376 2.542 14.49 -999 -15.88 -15.91 -16.11 -15.87 -15.58 -15.56 -15.35 -13.01 -1.94 -.31 -999 -999 -999 -999 -999 -999 116 12.19
2018 1 27 23 -999 -999 977 -23.84 -24.61 -999 79.3 .02 280.8 -.5 -999 .5 -999 -999 -.7 .2 -999 -999 1.386 2.558 14.49 -999 -16.04 -16.04 -16.28 -16.03 -15.75 -15.77 -15.49 -13.21 -1.93 -.31 -999 -999 -999 -999 -999 -999 114 12.17
2018 1 28 23 -999 -999 981 -22.66 -23.57 -999 80 0 0 -1 -999 .8 -999 -999 -.7 -.2 -999 -999 1.374 2.545 14.58 -999 -16.43 -16.4 -16.63 -16.4 -16.14 -16.14 -15.86 -13.37 -1.99 -.28 -999 -999 -999 -999 -999 -999 116 12.18
2018 1 29 23 -999 -999 982 -22.78 -23.69 -999 79.9 0 0 -2.4 -999 1 -999 -999 -2.3 -.4 -999 -999 1.394 2.566 14.51 -999 -16.77 -16.76 -17.06 -16.78 -16.53 -16.65 -16.21 -13.54 -1.94 -.31 -999 -999 -999 -999 -999 -999 114 12.16
2018 1 30 23 -999 -999 986 -23.49 -24.5 -999 79.5 .1 136.2 -2 -999 1.2 -999 -999 -2.5 -.3 -999 -999 1.375 2.536 14.67 -999 -17.41 -17.4 -17.7 -17.42 -17.11 -17.19 -16.81 -13.76 -1.93 -.33 -999 -999 -999 -999 -999 -999 118 12.15
2018 1 31 23 -999 -999 997 -20.24 -21.17 -999 67.9 3.9 121.7 -.8 -999 1 -999 -999 -22.1 -9.3 -999 -999 1.371 2.531 14.68 -999 -17.54 -17.57 -17.83 -17.55 -17.22 -17.25 -16.96 -14.02 -2.12 .14 -999 -999 -999 -999 -999 -999 126 12.15
