Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2018 1 17 23 -999 -999 891 -27.27 12.3 -999 52.3 3.68 94.5 -.8 -999 .6 -999 -999 -45.8 -11.4 -999 -999 2.286 -9999 10.83 -999 -16.26 -16.09 -13.23 -11.26 -9.67 -8.6 -7.73 -7.32 -.67 -.09 -999 -999 -999 -999 -999 -999 123 12.18
2018 1 18 23 -999 -999 893 -16.53 23.07 -999 54.8 6.91 112.6 -1 -999 .5 -999 -999 -63.3 -11.8 -999 -999 2.343 -9999 10.92 -999 -16.13 -16.02 -13.37 -11.31 -9.72 -8.64 -7.75 -7.33 -.69 -.1 -999 -999 -999 -999 -999 -999 121 12.2
2018 1 19 23 -999 -999 897 -15.76 23.84 -999 52.6 11.88 88.9 -.9 -999 .7 -999 -999 -80.3 -8.3 -999 -999 4.712 -9999 10.9 -999 -15.71 -15.68 -13.46 -11.37 -9.76 -8.68 -7.79 -7.33 -.74 -.04 -999 -999 -999 -999 -999 -999 122 12.22
2018 1 20 23 -999 -999 894 -18.16 21.46 -999 50.9 12.48 89.5 -.9 -999 .7 -999 -999 -77.5 -6.9 -999 -999 2.351 -9999 10.86 -999 -15.59 -15.54 -13.5 -11.44 -9.82 -8.71 -7.82 -7.34 -.23 -.12 -999 -999 -999 -999 -999 -999 137 12.21
2018 1 21 23 -999 -999 893 -16.84 22.76 -999 46.4 14.9 87.3 -1 -999 .5 -999 -999 -83.2 -8.4 -999 -999 2.345 -9999 10.88 -999 -15.43 -15.46 -13.51 -11.5 -9.87 -8.76 -7.84 -7.35 -.55 .27 -999 -999 -999 -999 -999 -999 131 12.21
2018 1 22 23 -999 -999 894 -17.47 22.14 -999 45.9 13.57 89.1 -.9 -999 .6 -999 -999 -84.1 -9.7 -999 -999 2.346 -9999 10.85 -999 -15.35 -15.38 -13.51 -11.56 -9.92 -8.81 -7.88 -7.36 -.69 .03 -999 -999 -999 -999 -999 -999 128 12.21
2018 1 23 23 -999 -999 890 -18.58 21.03 -999 40.7 11.33 89.9 -.7 -999 .6 -999 -999 -71.2 -9.6 -999 -999 2.354 -9999 10.85 -999 -15.39 -15.43 -13.51 -11.6 -9.97 -8.85 -7.91 -7.37 -.68 -.42 -999 -999 -999 -999 -999 -999 122 12.21
2018 1 24 23 -999 -999 895 -21.85 17.76 -999 41.2 7.35 92.8 -.8 -999 .8 -999 -999 -70.2 -11.2 -999 -999 4.758 -9999 10.91 -999 -15.74 -15.71 -13.53 -11.65 -10.02 -8.89 -7.94 -7.39 -.55 -.1 -999 -999 -999 -999 -999 -999 118 12.19
2018 1 25 23 -999 -999 889 -21.5 18.11 -999 45.7 7.91 90.4 -.6 -999 .9 -999 -999 -71.4 -11.1 -999 -999 2.259 -9999 10.75 -999 -16.05 -16.01 -13.58 -11.7 -10.07 -8.93 -7.98 -7.39 -.67 -.09 -999 -999 -999 -999 -999 -999 120 12.17
2018 1 26 23 -999 -999 882 -24.87 14.79 -999 54.4 5.09 91.1 -.4 -999 .7 -999 -999 -46.2 -8.2 -999 -999 2.259 -9999 10.78 -999 -16.38 -16.31 -13.67 -11.73 -10.12 -8.97 -8.01 -7.4 -.69 -.11 -999 -999 -999 -999 -999 -999 121 12.16
2018 1 27 23 -999 -999 884 -23.78 15.89 -999 60.4 3.29 76.8 -.3 -999 .7 -999 -999 -28.3 -9 -999 -999 3.063 -9999 10.78 -999 -16.76 -16.65 -13.78 -11.78 -10.18 -9.02 -8.04 -7.41 -.66 -.06 -999 -999 -999 -999 -999 -999 121 12.14
